raw yaw,kal yaw,p1,p2,p3,p4
-99.846802,-96.647552,0,3,0,1
-93.995049,-90.805977,0,3,0,1
-89.78064,-86.593781,0,3,0,1
-87.821175,-84.631386,0,3,0,1
-86.076431,-82.882408,0,3,0,1
-86.212479,-83.021408,0,3,0,1
-86.33149,-83.125282,0,3,0,1
-84.469864,-81.278404,0,3,0,1
-82.353981,-79.166054,0,3,0,1
-77.695473,-74.508682,0,3,0,1
-70.09584,-66.900162,0,3,0,1
-58.436882,-55.229954,0,3,0,1
-47.397736,-44.197632,0,3,0,1
-43.141659,-39.944771,0,3,0,1
-37.23254,-34.047039,0,3,0,1
-31.248608,-28.052244,0,3,0,1
-24.341534,-21.143089,0,3,0,1
-16.886992,-13.69067,0,3,0,1
-9.087893,-5.882766,0,3,0,1
-0.349258,2.852561,0,3,0,1
8.167624,11.359739,0,3,0,1
17.061827,20.257591,0,3,0,1
24.674452,27.870516,0,3,0,1
31.858507,35.054352,0,3,0,1
38.607834,41.800442,0,3,0,1
44.824574,48.018681,0,3,0,1
50.710163,53.89756,0,3,0,1
56.248547,59.443451,0,3,0,1
57.893585,61.080753,0,3,0,1
71.515694,74.731644,0,3,0,1
81.444855,84.657387,0,3,0,1
87.466705,90.666306,0,3,0,1
90.745644,93.935623,0,3,0,1
92.256683,95.442101,0,3,0,1
92.448853,95.641312,0,3,0,1
92.622208,95.810547,0,3,0,1
92.791252,95.979149,0,3,0,1
94.162582,97.351036,0,3,0,1
96.189911,99.375626,0,3,0,1
-82.330734,-67.253929,3,2,0,0
-37.253235,-22.146221,3,2,0,0
-31.355412,-16.222645,3,2,0,0
-24.442801,-9.281063,3,2,0,0
-17.115147,-1.976703,3,2,0,0
-9.13203,6.089177,3,2,0,0
-0.511573,14.6492,3,2,0,0
7.973216,23.111021,3,2,0,0
16.788536,31.927917,3,2,0,0
24.754105,39.915367,3,2,0,0
31.861116,47.026459,3,2,0,0
38.579475,53.682278,3,2,0,0
44.827065,59.97477,3,2,0,0
50.632244,65.734657,3,2,0,0
56.162609,71.286858,3,2,0,0
56.793121,71.920776,3,2,0,0
71.188965,86.422157,3,2,0,0
82.029518,97.25946,3,2,0,0
87.978043,103.126785,3,2,0,0
90.359756,105.455772,3,2,0,0
91.894348,106.995605,3,2,0,0
92.103676,107.201965,3,2,0,0
92.657799,107.764618,3,2,0,0
92.829857,107.927696,3,2,0,0
93.794777,108.888077,3,2,0,0
95.782928,110.871223,3,2,0,0
100.753265,115.897171,3,2,0,0
107.756538,122.896622,3,2,0,0
117.377647,132.56308,3,2,0,0
130.172852,145.459274,3,2,0,0
145.191299,160.475266,3,2,0,0
158.726181,173.936996,3,2,0,0
170.033966,-174.806488,3,2,0,0
176.598541,-168.251053,3,2,0,0
-178.745102,166.022766,3,2,0,0
-177.593033,-162.493835,3,2,0,0
-176.121552,-161.008469,3,2,0,0
-176.353348,-161.275864,3,2,0,0
-176.535446,-161.424805,3,2,0,0
-174.997147,-159.866882,3,2,0,0
-171.355255,-156.230331,3,2,0,0
-167.558578,-152.366409,3,2,0,0
-160.583893,-145.404739,3,2,0,0
-149.910919,-134.767471,3,2,0,0
-137.876785,-122.687401,3,2,0,0
-123.439308,-108.213867,3,2,0,0
-110.920578,-95.711464,3,2,0,0
-100.958313,-85.801109,3,2,0,0
-94.052162,-78.928535,3,2,0,0
-90.1707,-75.072739,3,2,0,0
-87.771347,-72.657784,3,2,0,0
-87.137924,-72.023514,3,2,0,0
-86.519585,-71.395401,3,2,0,0
-85.887985,-70.713371,3,2,0,0
-84.409424,-69.276482,3,2,0,0
-81.804741,-66.708694,3,2,0,0
-76.84758,-61.739635,3,2,0,0
-70.116089,-54.984947,3,2,0,0
-58.390965,-43.194275,3,2,0,0
-47.507118,-32.349758,3,2,0,0
-43.228481,-28.104252,3,2,0,0
-37.272766,-22.163645,3,2,0,0
-31.355478,-16.22863,3,2,0,0
-24.362282,-9.200623,3,2,0,0
-17.0397,-1.897383,3,2,0,0
-9.241594,5.963674,3,2,0,0
-0.463562,14.722605,3,2,0,0
8.124107,23.248281,3,2,0,0
16.73609,31.897341,3,2,0,0
24.634932,39.776665,3,2,0,0
31.827742,46.975273,3,2,0,0
38.515144,53.637157,3,2,0,0
44.932747,60.06424,3,2,0,0
50.654289,65.762672,3,2,0,0
56.15329,71.272118,3,2,0,0
56.208515,71.325516,3,2,0,0
72.349434,87.603828,3,2,0,0
82.451309,97.688309,3,2,0,0
88.443291,103.597557,3,2,0,0
91.186615,106.292061,3,2,0,0
