raw,kal
38.37553,38.38707
38.09012,38.17323
38.28499,38.28911
38.59079,38.62519
38.55614,38.59309
38.68443,38.75669
39.13427,39.29861
39.97373,40.10675
40.41801,40.51034
40.7552,40.82592
40.96233,41.02671
41.15353,41.21402
41.52878,41.55455
41.6273,41.64066
41.6764,41.68378
41.6217,41.62638
41.63005,41.64497
41.76633,41.79122
41.77655,41.81151
41.77926,41.77946
41.71809,41.74182
41.92616,41.95191
41.95353,41.98279
42.01989,42.02409
41.95535,41.94553
42.02111,42.10317
42.08567,42.10638
42.2821,42.28716
42.33234,42.34224
42.23752,42.25008
42.17483,42.18574
42.19007,42.19712
42.29293,42.28394
42.18796,42.19746
42.28377,42.29235
42.13553,42.14802
42.28238,42.29308
42.1483,42.1609
42.09218,42.09972
42.19153,42.19786
42.27928,42.28457
42.18282,42.1957
42.18444,42.19387
42.23314,42.2405
42.32779,42.30985
42.09163,42.09992
42.22658,42.23531
42.17725,42.18405
42.27148,42.27769
42.18175,42.19491
42.18575,42.19699
42.13482,42.14103
42.22345,42.23188
42.26793,42.27471
42.32484,42.33545
42.3271,42.33934
42.40538,42.41305
42.2193,42.22585
42.22444,42.2306
42.30868,42.3162
42.21104,42.22136
42.26232,42.26635
42.25825,42.26613
42.35766,42.36253
42.45217,42.45489
42.26259,42.26963
42.40675,42.41688
42.45884,42.4732
42.44927,42.46584
42.4011,42.40688
42.35687,42.36874
42.31025,42.3287
42.35496,42.36523
42.44329,42.45399
42.4376,42.45973
42.4071,42.41822
42.25068,42.26278
42.31059,42.32184
42.16364,42.16957
42.40644,42.41879
42.20442,42.21048
42.45131,42.45226
42.2549,42.26402
42.34433,42.34567
42.29631,42.30244
42.34462,42.35803
42.48581,42.49473
42.34319,42.3567
42.49107,42.5014
42.25177,42.26233
42.34372,42.35193
42.26618,42.27837
42.30106,42.33445
42.31035,42.32226
42.30429,42.31257
42.27041,42.27839
42.12885,42.13964
42.20428,42.21102
42.21727,42.22817
42.40304,42.42037
42.40321,42.41103
42.11631,42.12845
42.16749,42.17802
42.31107,42.32376
42.20963,42.22416
42.25436,42.26782
42.20986,42.22754
42.08582,42.09575
42.10543,42.11908
41.99854,42.00849
42.04039,42.06206
42.04609,42.03199
41.96312,41.96078
41.76548,41.7118
41.99337,42.124
42.04444,42.07017
42.18932,42.24754
43.0769,43.96562
45.39337,45.47764
45.68718,45.72546
45.73606,45.70174
45.49802,45.49117
45.57424,45.58485
45.83474,45.83891
45.78781,45.79799
45.91497,45.93274
45.87548,45.88915
45.88002,45.82856
45.92833,45.93907
46.02758,46.04048
45.93007,45.94602
45.9272,45.93332
45.92627,45.94041
45.87617,45.88519
45.92314,45.93219
45.96582,45.97908
45.97295,45.99688
46.02253,46.035
46.01277,46.0188
46.11103,46.1216
46.00835,46.01587
46.01321,46.01423
46.10658,46.11477
46.01007,46.01907
46.10992,46.11619
45.86247,45.87293
46.01068,46.0222
45.90702,45.91486
45.96353,45.97302
46.00513,46.01352
45.96898,45.98215
46.0165,46.01567
46.01603,46.02948
46.00759,46.00795
46.0616,46.07402
46.06348,46.0831
46.06192,46.0709
45.91947,45.92543
45.96801,45.97948
45.9714,45.97733
45.97108,45.98288
45.96622,45.94101
45.97621,45.98479
45.92497,45.93924
45.92498,45.94447
45.97614,45.9846
45.83033,45.84089
45.83562,45.84795
45.82298,45.82961
45.97107,45.99586
45.97478,45.98404
46.02032,46.02758
45.82645,45.83522
45.91969,45.92481
45.9264,45.93099
46.01468,46.02276
45.97175,45.98363
45.8746,45.88554
45.96909,45.99966
46.01915,46.02683
46.01625,46.04221
46.06239,46.0713
45.96733,45.96296
45.77842,45.78894
46.01438,46.01266
45.91843,45.93207
45.92446,45.93459
46.16216,46.16679
45.869,45.88309
46.02228,46.0336
45.86774,45.87893
45.91394,45.91872
45.96657,45.96452
45.82045,45.8283
46.00862,46.0235
45.83177,45.84566
45.52081,45.53316
45.68481,45.6729
45.47645,45.49546
45.42235,45.52893
45.6227,45.62597
45.57574,45.67842
45.52998,45.64619
45.87354,45.88387
45.91235,45.95872
46.21092,46.3205
46.9969,47.17804
47.68116,47.8265
48.22033,48.31987
48.46833,48.54999
48.94324,48.94608
48.74921,48.71385
48.84818,48.84571
48.75345,48.76092
48.7555,48.76515
48.71364,48.73181
48.7069,48.73874
49.09938,49.13214
48.90382,48.8743
48.61282,48.55938
48.63623,48.64945
48.96172,48.96098
48.95498,48.96888
49.05894,49.06796
49.06199,49.07728
49.00978,49.02314
49.01028,49.01997
49.10868,49.19186
49.00788,49.01933
49.10706,49.11896
48.95399,48.96584
49.05551,49.05859
49.10128,49.11119
49.15022,49.21302
49.0082,49.02181
48.95694,48.96276
49.10231,49.12416
49.10257,49.10714
48.95616,48.96276
49.09728,49.10375
49.05358,49.06208
49.00066,49.00659
49.1032,49.11086
49.00341,49.01599
49.00061,49.01035
49.10588,49.11187
49.05463,49.0597
49.00253,49.0061
49.0026,49.01329
49.05414,49.08311
