Sensor,Axis,Angular velocity,X,Y,Z,Temp
E33,X,0,-0.556375,0.6643,-0.982523,26.450588
E33,X,0,-0.52943,0.664002,-0.913067,26.397648
E33,X,0,-0.536199,0.643601,-0.954662,26.412354
E33,X,0,-0.527942,0.705095,-1.023173,26.432941
E33,X,0,-0.541884,0.752966,-0.940464,26.421177
E33,X,0,-0.556166,0.691617,-0.9686,26.438824
E33,X,0,-0.541783,0.72568,-0.988858,26.427059
E33,X,0,-0.570007,0.712201,-0.934285,26.421177
E33,X,0,-0.56229,0.739522,-0.989176,26.412354
E33,X,0,-0.488066,0.650001,-0.933047,26.400589
E33,X,0,-0.473434,0.704561,-0.953203,26.435883
E33,X,0,-0.549294,0.705204,-0.947722,26.43
E33,X,0,-0.536342,0.657234,-0.920124,26.397648
E33,X,0,-0.52256,0.657116,-0.919867,26.418236
E33,X,0,-0.536484,0.670868,-0.885585,26.438824
E33,X,0,-0.619053,0.651117,-0.928593,26.427059
E33,X,0,-0.577273,0.671278,-0.948404,26.415295
E33,X,0,-0.584803,0.664449,-0.886518,26.435883
E33,X,0,-0.522313,0.657141,-0.947444,26.40353
E33,X,0,-0.555897,0.698468,-0.989249,26.418236
E33,X,0,-0.542405,0.684673,-0.975271,26.418236
E33,X,0,-0.527878,0.725574,-1.002389,26.427059
E33,X,0,-0.543211,0.66412,-0.913324,26.43
E33,X,0,-0.563903,0.677943,-0.89296,26.441765
E33,X,0,-0.542938,0.711916,-0.878617,26.418236
E33,X,0,-0.535453,0.68462,-0.982037,26.412354
E33,X,0,-0.570259,0.671232,-0.962064,26.427059
E33,X,0,-0.528434,0.725518,-0.940341,26.444706
E33,X,0,-0.576838,0.691794,-0.968985,26.424118
E33,X,0,-0.501263,0.718419,-0.90539,26.40353
E33,X,0,-0.589899,0.68516,-1.058901,26.40353
E33,X,0,-0.590202,0.746547,-0.941396,26.394707
E33,X,0,-0.522002,0.677644,-0.954237,26.415295
E33,X,0,-0.557903,0.630026,-0.858595,26.394707
E33,X,0,-0.467001,0.656687,-0.967099,26.40353
E33,X,0,-0.55627,0.677958,-0.975562,26.394707
E33,X,0,-0.563368,0.671173,-0.961935,26.418236
E33,X,0,-0.660542,0.644633,-0.922503,26.427059
E33,X,0,-0.562454,0.746329,-0.961565,26.43
E33,X,0,-0.508651,0.697956,-0.878042,26.421177
E33,X,0,-0.611335,0.678437,-0.983483,26.45647
E33,X,0,-0.508655,0.65701,-0.933398,26.441765
E33,X,0,-0.550436,0.616377,-0.941265,26.409412
E33,X,0,-0.52908,0.657212,-0.961361,26.447647
E33,X,0,-0.507557,0.711713,-0.981389,26.406471
E33,X,0,-0.577128,0.678117,-0.955264,26.406471
E33,X,0,-0.493965,0.670631,-1.015805,26.424118
E33,X,0,-0.521776,0.670843,-0.988742,26.418236
E33,X,0,-0.487507,0.670529,-0.967417,26.418236
E33,X,0,-0.543439,0.650449,-0.906497,26.379999
E33,X,0,-0.528931,0.704996,-0.912865,26.412354
E33,X,0,-0.58398,0.650883,-0.996893,26.406471
E33,X,0,-0.56347,0.677987,-0.941219,26.424118
E33,X,0,-0.646117,0.692348,-0.928905,26.415295
E33,X,0,-0.618055,0.733106,-0.928189,26.421177
E33,X,0,-0.515177,0.636634,-1.00257,26.406471
E33,X,0,-0.535269,0.664166,-1.030398,26.406471
E33,X,0,-0.542489,0.67784,-0.975305,26.415295
E33,X,0,-0.562786,0.719,-0.9617,26.424118
E33,X,0,-0.494147,0.711558,-0.939766,26.427059
E33,X,0,-0.583857,0.650896,-1.010681,26.421177
E33,X,0,-0.583627,0.685039,-0.98983,26.415295
