Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0,-0.564575,-0.053406,-1.13678,25.35647
EXT,X,0,-0.564575,-0.030518,-1.113892,25.338823
EXT,X,0,-0.564575,-0.061035,-1.152039,25.353529
EXT,X,0,-0.564575,-0.083923,-1.174927,25.327059
EXT,X,0,-0.564575,-0.083923,-1.220703,25.33
EXT,X,0,-0.564575,-0.106812,-1.251221,25.350588
EXT,X,0,-0.564575,-0.091553,-1.167297,25.324118
EXT,X,0,-0.564575,-0.083923,-1.228333,25.33
EXT,X,0,-0.564575,-0.144958,-1.25885,25.35647
EXT,X,0,-0.564575,-0.045776,-1.266479,25.353529
EXT,X,0,-0.564575,-0.083923,-1.174927,25.341764
EXT,X,0,-0.564575,-0.190735,-1.167297,25.371176
EXT,X,0,-0.564575,-0.083923,-1.25885,25.350588
EXT,X,0,-0.564575,-0.068665,-1.243591,25.33
EXT,X,0,-0.564575,-0.083923,-1.182556,25.335882
EXT,X,0,-0.572205,-0.076294,-1.205444,25.344706
EXT,X,0,-0.572205,-0.091553,-1.197815,25.362352
EXT,X,0,-0.572205,-0.183105,-1.098633,25.341764
EXT,X,0,-0.572205,-0.068665,-1.197815,25.341764
EXT,X,0,-0.572205,-0.12207,-1.205444,25.377058
EXT,X,0,-0.572205,-0.076294,-1.174927,25.359411
EXT,X,0,-0.572205,-0.106812,-1.144409,25.353529
EXT,X,0,-0.572205,-0.144958,-1.213074,25.365294
EXT,X,0,-0.572205,-0.038147,-1.190186,25.362352
EXT,X,0,-0.572205,-0.091553,-1.190186,25.33
EXT,X,0,-0.572205,-0.091553,-1.213074,25.338823
EXT,X,0,-0.572205,-0.053406,-1.167297,25.327059
EXT,X,0,-0.572205,-0.030518,-1.205444,25.359411
EXT,X,0,-0.572205,-0.045776,-1.220703,25.362352
EXT,X,0,-0.572205,-0.091553,-1.152039,25.362352
EXT,X,0,-0.572205,-0.061035,-1.197815,25.312353
EXT,X,0,-0.572205,-0.061035,-1.289368,25.321177
EXT,X,0,-0.572205,-0.099182,-1.190186,25.33
EXT,X,0,-0.572205,-0.114441,-1.190186,25.321177
EXT,X,0,-0.572205,-0.106812,-1.167297,25.332941
EXT,X,0,-0.572205,-0.099182,-1.083374,25.341764
EXT,X,0,-0.572205,-0.091553,-1.25885,25.324118
EXT,X,0,-0.572205,-0.053406,-1.113892,25.344706
EXT,X,0,-0.572205,-0.114441,-1.220703,25.33
EXT,X,0,-0.572205,-0.1297,-1.266479,25.332941
EXT,X,0,-0.572205,-0.061035,-1.182556,25.324118
EXT,X,0,-0.572205,-0.190735,-1.220703,25.324118
EXT,X,0,-0.572205,-0.061035,-1.13678,25.321177
EXT,X,0,-0.572205,-0.053406,-1.167297,25.35647
EXT,X,0,-0.572205,-0.076294,-1.174927,25.315294
EXT,X,0,-0.572205,-0.083923,-1.190186,25.35647
EXT,X,0,-0.572205,-0.068665,-1.190186,25.335882
