X0 b'E33: x = -0.597632, y = 0.712431, z = -0.927905, temp = 26.456470\r\n'
X0 b'E33: x = -0.570361, y = 0.678046, z = -0.941347, temp = 26.456470\r\n'
X0 b'E33: x = -0.569992, y = 0.657610, z = -1.010391, temp = 26.450588\r\n'
X0 b'E33: x = -0.535285, y = 0.718757, z = -0.954292, temp = 26.462353\r\n'
X0 b'E33: x = -0.590678, y = 0.732851, z = -0.906992, temp = 26.456470\r\n'
X0 b'E33: x = -0.521520, y = 0.752758, z = -0.905607, temp = 26.465294\r\n'
X0 b'E33: x = -0.534396, y = 0.746142, z = -1.016205, temp = 26.477058\r\n'
X0 b'E33: x = -0.515401, y = 0.663908, z = -0.940387, temp = 26.459412\r\n'
X0 b'E33: x = -0.550454, y = 0.650495, z = -0.892837, temp = 26.465294\r\n'
X0 b'E33: x = -0.508548, y = 0.691142, z = -0.898759, temp = 26.450588\r\n'
X0 b'E33: x = -0.513849, y = 0.725480, z = -1.029709, temp = 26.468235\r\n'
X0 b'E33: x = -0.467108, y = 0.622556, z = -1.001738, temp = 26.480000\r\n'
X0 b'E33: x = -0.536033, y = 0.657265, z = -0.954595, temp = 26.453529\r\n'
X0 b'E33: x = -0.542256, y = 0.732456, z = -0.926776, temp = 26.462353\r\n'
X0 b'E33: x = -0.514840, y = 0.704909, z = -0.947080, temp = 26.471176\r\n'
X0 b'E33: x = -0.486060, y = 0.718443, z = -1.063700, temp = 26.482941\r\n'
X0 b'E33: x = -0.570361, y = 0.678046, z = -0.941347, temp = 26.497646\r\n'
X0 b'E33: x = -0.515217, y = 0.643454, z = -0.988748, temp = 26.468235\r\n'
X0 b'E33: x = -0.549008, y = 0.677936, z = -1.016799, temp = 26.485882\r\n'
X0 b'E33: x = -0.548798, y = 0.725726, z = -0.975198, temp = 26.450588\r\n'
X0 b'E33: x = -0.556392, y = 0.698418, z = -0.934095, temp = 26.482941\r\n'
X0 b'E33: x = -0.618287, y = 0.678490, z = -0.976718, temp = 26.421177\r\n'
X0 b'E33: x = -0.549544, y = 0.684707, z = -0.947823, temp = 26.468235\r\n'
X0 b'E33: x = -0.611870, y = 0.685208, z = -0.914508, temp = 26.450588\r\n'
X0 b'E33: x = -0.515090, y = 0.684412, z = -0.947181, temp = 26.497646\r\n'
X0 b'E33: x = -0.529016, y = 0.677691, z = -0.940577, temp = 26.480000\r\n'
X0 b'E33: x = -0.570026, y = 0.725848, z = -0.913535, temp = 26.438824\r\n'
X0 b'E33: x = -0.521277, y = 0.711837, z = -0.988540, temp = 26.462353\r\n'
X0 b'E33: x = -0.508346, y = 0.657041, z = -0.967869, temp = 26.471176\r\n'
X0 b'E33: x = -0.542610, y = 0.698300, z = -0.933839, temp = 26.453529\r\n'
X0 b'E33: x = -0.528997, y = 0.664045, z = -0.961327, temp = 26.471176\r\n'
X0 b'E33: x = -0.563347, y = 0.677999, z = -0.955007, temp = 26.435883\r\n'
X0 b'E33: x = -0.563223, y = 0.678011, z = -0.968796, temp = 26.474117\r\n'
X0 b'E33: x = -0.549316, y = 0.698378, z = -0.954650, temp = 26.459412\r\n'
X0 b'E33: x = -0.570052, y = 0.678077, z = -0.975819, temp = 26.462353\r\n'
X0 b'E33: x = -0.549607, y = 0.664228, z = -0.968606, temp = 26.471176\r\n'
X0 b'E33: x = -0.535306, y = 0.711931, z = -0.961220, temp = 26.438824\r\n'
X0 b'E33: x = -0.529493, y = 0.643523, z = -0.933851, temp = 26.453529\r\n'
X0 b'E33: x = -0.646452, y = 0.644546, z = -0.956717, temp = 26.459412\r\n'
X0 b'E33: x = -0.527816, y = 0.725580, z = -1.009284, temp = 26.456470\r\n'
X0 b'E33: x = -0.548736, y = 0.725732, z = -0.982092, temp = 26.453529\r\n'
X0 b'E33: x = -0.521650, y = 0.691328, z = -0.974852, temp = 26.450588\r\n'
X0 b'E33: x = -0.555603, y = 0.753090, z = -0.947615, temp = 26.450588\r\n'
X0 b'E33: x = -0.598150, y = 0.685083, z = -0.907357, temp = 26.459412\r\n'
X0 b'E33: x = -0.604649, y = 0.692006, z = -0.941922, temp = 26.456470\r\n'
X0 b'E33: x = -0.508280, y = 0.697993, z = -0.919408, temp = 26.468235\r\n'
X0 b'E33: x = -0.570670, y = 0.678015, z = -0.906876, temp = 26.462353\r\n'
X0 b'E33: x = -0.522230, y = 0.663973, z = -0.947410, temp = 26.477058\r\n'
X0 b'E33: x = -0.577026, y = 0.671303, z = -0.975981, temp = 26.462353\r\n'
X0 b'E33: x = -0.549625, y = 0.698347, z = -0.920179, temp = 26.459412\r\n'
X0 b'E33: x = -0.549957, y = 0.671017, z = -0.920313, temp = 26.459412\r\n'
X0 b'E33: x = -0.507619, y = 0.711707, z = -0.974494, temp = 26.459412\r\n'
X0 b'E33: x = -0.542593, y = 0.664182, z = -0.982266, temp = 26.462353\r\n'
X0 b'E33: x = -0.527814, y = 0.746052, z = -0.981606, temp = 26.456470\r\n'
X0 b'E33: x = -0.549812, y = 0.677856, z = -0.927174, temp = 26.453529\r\n'
X0 b'E33: x = -0.521629, y = 0.698154, z = -0.967924, temp = 26.462353\r\n'
X0 b'E33: x = -0.521441, y = 0.718645, z = -0.960929, temp = 26.465294\r\n'
X0 b'E33: x = -0.515669, y = 0.657057, z = -0.919738, temp = 26.441765\r\n'
X0 b'E33: x = -0.500939, y = 0.663858, z = -1.015967, temp = 26.488823\r\n'
X0 b'E33: x = -0.550456, y = 0.630023, z = -0.920515, temp = 26.444706\r\n'
X0 b'E33: x = -0.577167, y = 0.705410, z = -0.913764, temp = 26.456470\r\n'
X0 b'E33: x = -0.508429, y = 0.650209, z = -0.967903, temp = 26.453529\r\n'
X0 b'E33: x = -0.522046, y = 0.643519, z = -0.995771, temp = 26.430000\r\n'
X0 b'E33: x = -0.535161, y = 0.718769, z = -0.968080, temp = 26.465294\r\n'
X0 b'E33: x = -0.535534, y = 0.698260, z = -0.954393, temp = 26.453529\r\n'
X0 b'E33: x = -0.555812, y = 0.725773, z = -0.961538, temp = 26.438824\r\n'
X0 b'E33: x = -0.514075, y = 0.732282, z = -0.995205, temp = 26.450588\r\n'
X0 b'E33: x = -0.549420, y = 0.684719, z = -0.961611, temp = 26.456470\r\n'
X0 b'E33: x = -0.578057, y = 0.657552, z = -0.879529, temp = 26.462353\r\n'
X0 b'E33: x = -0.529219, y = 0.711791, z = -0.871466, temp = 26.465294\r\n'
X0 b'E33: x = -0.549957, y = 0.671017, z = -0.920313, temp = 26.465294\r\n'
X0 b'E33: x = -0.563159, y = 0.698490, z = -0.948012, temp = 26.456470\r\n'
X0 b'E33: x = -0.563304, y = 0.691651, z = -0.941152, temp = 26.456470\r\n'
X0 b'E33: x = -0.480325, y = 0.704620, z = -0.953332, temp = 26.421177\r\n'
X0 b'E33: x = -0.500893, y = 0.718456, z = -0.946755, temp = 26.459412\r\n'
X0 b'E33: x = -0.555669, y = 0.712139, z = -0.996076, temp = 26.453529\r\n'
