mx,my,mz,temp
204.933334,441.199982,99.333336,33.230469
192.266678,437.866669,97.333336,33.230469
204.133331,441.199982,100.133331,33.230469
195.333328,438.266663,98.533333,33.230469
202.53334,440.133331,99.066666,33.226562
194.799988,438.266663,98.0,33.230469
203.066681,440.800018,99.599998,33.230469
190.666672,437.866669,97.600006,33.226562
196.133331,438.666656,98.400002,33.226562
198.133331,440.133331,98.666672,33.226562
200.800003,439.599976,98.533333,33.226562
195.333328,438.666656,98.0,33.226562
194.0,438.0,97.600006,33.226562
200.666672,440.400024,98.933334,33.226562
196.666656,438.666656,99.066666,33.226562
196.399994,439.599976,98.26667,33.226562
192.399994,438.0,97.466667,33.226562
203.866669,441.199982,99.599998,33.226562
194.0,438.0,98.26667,33.226562
200.666672,440.800018,97.466667,33.226562
192.53334,437.866669,97.600006,33.222656
203.600006,441.199982,99.733337,33.226562
191.733337,437.866669,97.600006,33.226562
203.46666,441.199982,98.800003,33.226562
197.600006,439.733307,98.133331,33.222656
201.466675,440.0,98.666672,33.222656
194.533325,438.399994,98.133331,33.222656
204.400009,441.06665,98.666672,33.222656
203.46666,438.800018,98.800003,33.222656
193.333344,437.333344,97.733337,33.226562
201.200012,441.06665,98.800003,33.222656
197.600006,438.533325,97.466667,33.222656
204.133331,440.93335,98.800003,33.222656
190.666672,437.866669,97.333336,33.21875
204.133331,440.800018,98.666672,33.21875
190.93335,438.133301,97.600006,33.21875
198.799988,439.333344,98.400002,33.222656
196.53334,438.93335,97.066666,33.21875
202.666656,440.266693,97.466667,33.21875
193.333344,438.133301,97.466667,33.21875
194.133331,438.133301,97.600006,33.21875
201.600006,440.666656,98.533333,33.21875
197.333344,438.666656,98.400002,33.21875
197.46666,439.06665,97.600006,33.21875
194.666672,437.733337,96.933334,33.21875
204.400009,441.06665,99.333336,33.21875
192.266678,438.0,97.600006,33.21875
202.800003,440.533325,97.466667,33.21875
195.066666,439.06665,97.866669,33.21875
202.53334,440.400024,98.400002,33.21875
192.133331,437.866669,98.0,33.214844
204.133331,440.800018,99.333336,33.21875
201.066666,440.666656,98.133331,33.21875
195.200012,437.733337,98.0,33.214844
199.199997,440.266693,98.666672,33.214844
198.266663,438.93335,97.866669,33.214844
204.133331,440.93335,98.933334,33.214844
192.266678,437.599976,96.26667,33.214844
205.066666,440.93335,98.800003,33.214844
192.933334,438.133301,97.333336,33.214844
201.866669,439.466675,98.26667,33.214844
195.733337,439.199982,98.0,33.214844
202.666656,440.266693,98.0,33.214844
193.333344,438.133301,97.466667,33.214844
193.733337,437.866669,97.600006,33.214844
200.400009,441.06665,98.666672,33.214844
196.933319,438.266663,97.733337,33.210938
198.533325,439.866669,98.533333,33.210938
191.200012,437.733337,97.200005,33.214844
204.799988,441.333344,99.599998,33.214844
192.800003,437.866669,97.333336,33.210938
202.0,441.333344,98.400002,33.214844
196.933319,439.733307,98.133331,33.210938
200.800003,440.0,98.933334,33.210938
193.46666,438.399994,97.733337,33.210938
204.133331,440.800018,98.800003,33.210938
194.533325,437.733337,97.200005,33.210938
202.933334,440.666656,99.333336,33.210938
196.399994,438.0,97.866669,33.210938
199.199997,440.266693,98.0,33.207031
193.199997,438.0,97.600006,33.207031
205.200012,441.06665,99.599998,33.210938
192.399994,437.866669,97.733337,33.210938
202.933334,441.199982,99.599998,33.210938
201.200012,440.800018,98.26667,33.210938
194.533325,437.866669,97.866669,33.207031
200.266663,441.199982,98.933334,33.210938
195.466675,438.800018,98.0,33.207031
202.53334,441.333344,98.666672,33.207031
193.066681,438.0,98.26667,33.207031
203.46666,440.93335,99.599998,33.207031
192.399994,438.0,97.600006,33.207031
197.733322,439.466675,98.400002,33.207031
196.0,438.666656,97.733337,33.207031
202.133331,440.533325,99.199997,33.207031
193.333344,438.133301,98.400002,33.207031
193.733337,438.133301,97.733337,33.207031
202.133331,441.333344,98.800003,33.207031
194.933334,438.666656,98.800003,33.207031
198.133331,440.133331,97.200005,33.203125
192.133331,437.866669,97.333336,33.203125
203.600006,441.199982,99.199997,33.207031
192.666656,437.599976,97.200005,33.203125
204.133331,441.06665,98.666672,33.203125
198.0,440.0,98.0,33.203125
201.200012,439.866669,98.800003,33.207031
194.933334,438.533325,97.466667,33.203125
203.733337,440.800018,99.066666,33.203125
206.0,441.333344,98.800003,33.203125
194.533325,437.866669,97.333336,33.203125
202.0,441.600006,98.800003,33.203125
