m1,m2,m3
-519.230774,-8.97436,-92.307693
-528.205139,7.692308,-78.205132
-528.205139,7.692308,-79.487183
-520.512817,-3.846154,-88.46154
-521.794861,12.820513,-74.358978
-532.05127,6.410256,-85.897438
-524.359009,-2.564103,-84.615387
-515.384644,3.846154,-80.769234
-523.076965,2.564103,-79.487183
-526.923096,-3.846154,-84.615387
-524.359009,5.128205,-78.205132
-529.487183,8.97436,-71.794876
-523.076965,-5.128205,-84.615387
-519.230774,-6.410256,-70.512825
-525.641052,-5.128205,-73.076927
-528.205139,-2.564103,-80.769234
-516.666687,-5.128205,-83.333336
-526.923096,8.97436,-76.92308
-528.205139,8.97436,-79.487183
-533.333374,6.410256,-78.205132
-528.205139,3.846154,-83.333336
-521.794861,6.410256,-78.205132
-520.512817,3.846154,-74.358978
-523.076965,0.0,-88.46154
-512.820557,-3.846154,-83.333336
-526.923096,-5.128205,-78.205132
-529.487183,5.128205,-79.487183
-523.076965,0.0,-83.333336
-521.794861,3.846154,-76.92308
-524.359009,0.0,-80.769234
-529.487183,-7.692308,-89.743591
-526.923096,5.128205,-74.358978
-523.076965,3.846154,-82.051285
-514.1026,-3.846154,-80.769234
-517.94873,-1.282051,-82.051285
-532.05127,0.0,-87.179489
-519.230774,-5.128205,-85.897438
-517.94873,-6.410256,-73.076927
-521.794861,6.410256,-75.641029
-524.359009,-3.846154,-88.46154
-516.666687,-1.282051,-79.487183
-526.923096,2.564103,-74.358978
-529.487183,-6.410256,-69.230774
-521.794861,2.564103,-78.205132
-528.205139,0.0,-82.051285
-515.384644,6.410256,-80.769234
-516.666687,-3.846154,-76.92308
-530.769226,-1.282051,-84.615387
-520.512817,3.846154,-82.051285
-523.076965,2.564103,-73.076927
-529.487183,6.410256,-78.205132
-510.256439,-6.410256,-82.051285
-528.205139,12.820513,-75.641029
-514.1026,-2.564103,-82.051285
-521.794861,5.128205,-80.769234
-520.512817,2.564103,-75.641029
-525.641052,-3.846154,-83.333336
-523.076965,3.846154,-79.487183
-523.076965,-5.128205,-74.358978
-528.205139,-1.282051,-83.333336
-520.512817,-3.846154,-78.205132
-532.05127,0.0,-71.794876
-529.487183,6.410256,-80.769234
-530.769226,7.692308,-85.897438
-520.512817,-2.564103,-75.641029
-533.333374,-5.128205,-79.487183
-526.923096,-5.128205,-84.615387
-521.794861,3.846154,-73.076927
-532.05127,0.0,-80.769234
-515.384644,-7.692308,-82.051285
-521.794861,7.692308,-73.076927
-530.769226,5.128205,-83.333336
-520.512817,0.0,-85.897438
-520.512817,3.846154,-75.641029
-524.359009,8.97436,-80.769234
-530.769226,8.97436,-84.615387
-512.820557,-7.692308,-71.794876
-528.205139,8.97436,-79.487183
-530.769226,1.282051,-76.92308
-526.923096,-3.846154,-83.333336
-516.666687,-3.846154,-75.641029
-530.769226,1.282051,-75.641029
-520.512817,-5.128205,-69.230774
-525.641052,5.128205,-82.051285
-520.512817,7.692308,-69.230774
-529.487183,-6.410256,-82.051285
-530.769226,-5.128205,-84.615387
-526.923096,5.128205,-78.205132
-530.769226,3.846154,-82.051285
-514.1026,-1.282051,-80.769234
-524.359009,0.0,-85.897438
-520.512817,-3.846154,-80.769234
-533.333374,0.0,-79.487183
-521.794861,2.564103,-87.179489
-530.769226,2.564103,-89.743591
-520.512817,-3.846154,-71.794876
-521.794861,5.128205,-82.051285
-524.359009,-5.128205,-78.205132
-517.94873,-6.410256,-71.794876
-528.205139,5.128205,-80.769234
-524.359009,7.692308,-76.92308
-529.487183,-5.128205,-83.333336
-521.794861,3.846154,-85.897438
-529.487183,-8.97436,-75.641029
-526.923096,7.692308,-82.051285
-525.641052,-1.282051,-78.205132
-520.512817,-3.846154,-84.615387
-514.1026,3.846154,-70.512825
-524.359009,2.564103,-87.179489
-520.512817,0.0,-79.487183
-521.794861,6.410256,-78.205132
