m1,m2,m3,temp
377.333344,-186.800003,44.799999,33.878906
374.399994,-201.733337,61.466667,33.878906
381.333344,-198.266663,48.800003,33.878906
367.333344,-190.266663,56.533333,33.882812
380.266693,-195.733337,47.333332,33.882812
369.199982,-193.733337,46.799999,33.882812
371.06665,-186.133331,43.733334,33.882812
368.533325,-189.733337,57.199997,33.882812
379.466675,-198.266663,46.933331,33.886719
369.599976,-198.933334,46.933331,33.886719
379.599976,-197.333344,61.333332,33.886719
381.333344,-192.133331,49.866669,33.886719
369.866669,-187.866669,44.799999,33.886719
378.133301,-197.333344,57.066666,33.886719
377.733337,-202.933334,60.400002,33.886719
369.866669,-184.666672,42.933334,33.890625
380.266693,-201.333328,60.266666,33.890625
367.200012,-186.800003,43.733334,33.890625
367.866669,-189.866653,49.599998,33.890625
379.06665,-198.133331,52.266663,33.890625
366.266663,-189.333328,53.600002,33.894531
377.466675,-190.400009,59.200001,33.890625
372.799988,-186.133331,44.400002,33.894531
364.399994,-189.199997,48.666668,33.894531
373.333313,-193.866669,60.0,33.894531
374.399994,-190.666672,44.666668,33.898438
370.400024,-189.466675,58.533333,33.898438
378.133301,-186.666656,54.933334,33.898438
373.733337,-184.666672,43.733334,33.898438
377.200012,-202.266678,60.933334,33.898438
376.799988,-195.866669,57.333332,33.898438
368.533325,-189.199997,45.333332,33.902344
378.93335,-199.06665,56.399998,33.902344
376.133362,-196.53334,45.466667,33.902344
380.400024,-199.199997,48.400002,33.902344
370.400024,-197.333344,46.666664,33.90625
374.933319,-200.400009,62.666668,33.90625
382.400024,-197.46666,54.933334,33.90625
378.93335,-190.93335,57.866669,33.90625
378.399994,-185.733337,46.799999,33.90625
372.400024,-202.0,59.733334,33.90625
379.866669,-200.400009,53.600002,33.910156
376.0,-186.133331,45.466667,33.910156
365.733337,-187.600006,46.399998,33.910156
382.400024,-198.399994,55.466667,33.910156
376.666687,-196.399994,44.799999,33.914062
368.533325,-188.799988,55.599998,33.914062
378.399994,-188.666672,57.733337,33.914062
369.866669,-198.666672,46.0,33.914062
377.466675,-188.799988,54.666668,33.914062
381.600006,-192.53334,50.133331,33.914062
371.866699,-189.599991,44.666668,33.914062
370.800018,-192.266678,56.666664,33.917969
376.533325,-196.133331,46.933331,33.917969
369.466675,-199.333328,52.133331,33.921875
379.199982,-200.800003,60.933334,33.921875
383.600006,-196.800003,51.199997,33.921875
370.266693,-193.199997,46.0,33.921875
366.666687,-198.266663,50.266666,33.921875
375.066681,-203.199997,60.666664,33.921875
370.800018,-184.133331,44.133335,33.925781
367.06665,-189.06665,54.266666,33.925781
364.933319,-191.466675,48.933334,33.925781
374.799988,-195.333328,58.400002,33.925781
372.93335,-190.800003,45.066666,33.925781
377.06665,-197.333344,58.26667,33.929688
376.399994,-192.666656,56.399998,33.929688
370.533325,-192.266678,47.333332,33.925781
377.466675,-195.466675,55.733334,33.929688
373.600006,-194.266663,45.333332,33.929688
368.133301,-184.133331,44.266666,33.933594
366.666687,-190.800003,56.133331,33.933594
