t1,t2,t3,t4
23.788872,23.580048,23.6443,23.612169
23.820999,23.596104,23.6443,23.628235
23.804935,23.596104,23.628235,23.628235
23.804935,23.612169,23.628235,23.628235
23.788872,23.580048,23.6443,23.628235
23.788872,23.580048,23.6443,23.628235
23.804935,23.580048,23.628235,23.628235
23.804935,23.580048,23.6443,23.628235
23.804935,23.596104,23.628235,23.6443
23.788872,23.596104,23.628235,23.628235
23.804935,23.596104,23.6443,23.628235
23.804935,23.596104,23.628235,23.628235
23.804935,23.596104,23.6443,23.628235
23.804935,23.596104,23.6443,23.628235
23.804935,23.596104,23.6443,23.628235
23.788872,23.596104,23.6443,23.628235
23.804935,23.580048,23.628235,23.628235
23.788872,23.596104,23.6443,23.628235
23.804935,23.596104,23.628235,23.628235
23.804935,23.596104,23.6443,23.628235
23.788872,23.596104,23.6443,23.628235
23.804935,23.596104,23.6443,23.628235
23.788872,23.580048,23.628235,23.628235
23.788872,23.596104,23.6443,23.628235
23.788872,23.596104,23.6443,23.628235
23.804935,23.628235,23.628235,23.628235
23.788872,23.596104,23.6443,23.628235
23.804935,23.596104,23.6443,23.6443
23.788872,23.580048,23.6443,23.6443
23.804935,23.596104,23.628235,23.628235
23.804935,23.596104,23.6443,23.628235
23.804935,23.596104,23.6443,23.6443
23.788872,23.596104,23.6443,23.628235
