x,y,z,temp
0.104724,0.029785,0.027729,23.10647
0.142625,-0.023644,-0.002452,23.109411
0.066532,-0.076006,-0.126675,23.08
-0.010601,0.000397,0.040757,23.109411
0.057663,-0.091223,-0.012017,23.10647
0.089484,0.029923,0.019786,23.085882
0.081476,-0.061012,-0.065048,23.085882
0.089477,-0.038302,-0.072451,23.109411
0.067805,0.068151,-0.072356,23.097647
0.08141,-0.038278,-0.026644,23.097647
0.104284,-0.023323,0.004493,23.100588
0.18145,-0.001175,-0.03226,23.085882
0.106604,0.060295,-0.140605,23.088823
0.021857,0.083703,-0.050162,23.097647
0.088347,-0.11422,-0.04985,23.124117
0.04385,-0.007556,-0.065499,23.103529
0.14366,0.021943,-0.055837,23.10647
0.074264,0.014902,-0.011208,23.091764
0.090172,0.052733,-0.026052,23.097647
0.03633,-0.030219,-0.111704,23.08
0.135219,-0.053875,-0.07167,23.085882
-0.024464,0.046155,-0.058863,23.091764
0.189471,0.006376,-0.062714,23.100588
0.072491,-0.091402,0.041877,23.088823
0.141747,-0.107117,-0.01818,23.074118
-0.009181,0.0157,-0.097019,23.08
0.012543,-0.030104,-0.020232,23.062353
0.1204,0.037271,-0.002581,23.08
0.120604,0.01455,-0.056302,23.091764
0.088809,-0.076271,-0.049663,23.071177
0.089966,0.052713,-0.003077,23.074118
0.105411,0.029854,-0.048854,23.091764
0.17474,0.059629,-0.055079,23.103529
0.104423,-0.000567,0.019922,23.074118
0.051739,0.045465,-0.019145,23.097647
0.089599,0.045096,0.027519,23.097647
0.090994,0.030074,-0.148699,23.068235
0.036889,0.060803,-0.049989,23.077059
0.082516,0.030057,-0.056941,23.103529
0.005283,0.030645,0.018216,23.097647
0.057594,-0.091229,-0.004358,23.097647
0.104168,-0.038495,-0.003241,23.082941
0.059973,0.121262,0.019664,23.094706
0.091181,0.067995,-0.117878,23.097647
0.127479,0.006826,0.020387,23.085882
0.074376,-0.015409,-0.064966,23.094706
0.081921,0.037578,0.01968,23.088823
0.127823,0.00686,-0.017905,23.088823
0.073758,-0.01547,0.003959,23.08
0.068385,0.144014,-0.03369,23.097647
0.080508,-0.129334,-0.050067,23.091764
0.058813,-0.030464,-0.057668,23.074118
0.065152,-0.144368,-0.065744,23.071177
0.111569,-0.053747,0.004486,23.068235
0.088946,-0.076258,-0.06498,23.047647
0.135591,-0.000775,-0.040775,23.074118
0.066752,0.060465,0.034824,23.065294
0.089986,0.014812,-0.056873,23.088823
0.097157,-0.008043,-0.033867,23.059412
0.106078,0.067823,-0.071642,23.077059
0.134717,-0.038764,0.004989,23.065294
0.051388,-0.022795,-0.07309,23.068235
0.059322,0.022651,-0.042089,23.088823
0.13557,0.014384,-0.017725,23.062353
0.134923,-0.038744,-0.017987,23.074118
0.043234,0.015124,0.034172,23.085882
0.112814,0.037343,-0.010382,23.062353
0.105183,0.044992,-0.002829,23.074118
0.089983,-0.007929,-0.087618,23.068235
0.037099,0.106307,-0.011473,23.091764
0.034263,-0.09865,0.02581,23.097647
0.005757,-0.037532,-0.127629,23.08
0.158136,-0.069238,-0.086633,23.074118
0.082245,0.075513,0.035184,23.068235
0.105643,0.060199,-0.033388,23.097647
0.090104,0.052727,-0.018394,23.05353
0.105503,0.037443,-0.048817,23.030001
0.141515,-0.137462,-0.033647,23.074118
0.06509,-0.07615,0.034151,23.085882
0.089107,-0.068661,-0.072601,23.05353
0.022754,0.129276,-0.08823,23.100588
0.052037,0.053075,-0.042083,23.056471
0.096745,-0.008084,0.012083,23.041765
0.104149,-0.000595,0.050555,23.065294
0.059116,0.02263,-0.019114,23.062353
0.005558,0.030672,-0.012417,23.047647
0.074473,0.037665,-0.003437,23.05353
0.07456,-0.000229,-0.064891,23.077059
0.025364,-0.189675,0.040535,23.077059
0.073618,-0.038226,-0.01147,23.059412
0.019669,-0.045384,0.018128,23.082941
0.033665,-0.136612,0.04094,23.077059
0.104923,-0.03842,-0.087483,23.074118
0.066447,-0.01537,-0.034475,23.059412
0.121068,0.07524,-0.02537,23.065294
0.11217,0.006957,0.020102,23.050589
0.120627,0.022133,-0.048606,23.062353
0.068267,0.106099,-0.072169,23.047647
0.075048,0.068044,-0.026263,23.047647
0.013236,0.038189,-0.004579,23.062353
0.035693,0.00762,0.011017,23.068235
0.16566,-0.001092,0.021063,23.059412
0.013861,0.106476,0.018733,23.05353
0.051968,0.053068,-0.034424,23.056471
0.066148,-0.022981,-0.011537,23.047647
0.066122,-0.053305,-0.049979,23.074118
0.111844,-0.05372,-0.026148,23.050589
0.082745,0.037661,-0.07222,23.082941
0.088324,-0.121803,-0.057546,23.056471
0.127363,-0.008347,0.012654,23.05353
0.074286,-0.000257,-0.034258,23.071177
0.083254,0.090775,-0.056642,23.074118
0.104767,-0.000533,-0.01837,23.071177
0.034704,-0.045542,0.049047,23.056471
0.067599,0.06813,-0.049381,23.08
0.065914,-0.076068,-0.057749,23.068235
0.013814,0.091311,0.003341,23.062353
0.004085,-0.04528,0.048476,23.068235
0.027854,-0.007494,0.010799,23.074118
0.075003,0.07562,-0.010909,23.077059
0.118807,-0.099337,-0.010913,23.044706
0.07474,-0.030533,-0.126308,23.071177
0.097872,0.045092,-0.041264,23.08
0.088991,-0.083834,-0.080334,23.068235
0.142142,-0.046433,0.020411,23.056471
0.135546,0.006801,-0.025421,23.068235
0.10382,-0.084013,-0.02644,23.071177
0.04985,-0.076012,0.026207,23.077059
0.151359,0.014301,-0.071048,23.059412
0.082331,0.014878,-0.057016,23.065294
