mx,my,mz,temp
228.266663,439.733307,116.0,33.117188
224.799988,445.333313,120.933334,33.113281
223.733337,434.799988,121.066666,33.113281
220.93335,438.533325,124.266663,33.117188
229.199997,440.133331,121.199997,33.117188
222.53334,440.400024,120.800003,33.113281
222.800003,442.93335,121.199997,33.113281
221.466675,438.133301,115.600006,33.113281
228.533325,439.466675,125.466675,33.113281
231.333328,440.266693,121.199997,33.113281
218.533325,438.800018,121.066666,33.113281
221.200012,433.733337,120.266663,33.117188
228.533325,440.533325,113.46666,33.113281
234.799988,440.0,121.599998,33.113281
216.933319,438.266663,121.333328,33.113281
223.333344,434.666687,120.533333,33.113281
223.199997,438.0,120.933334,33.113281
227.46666,435.200012,121.466667,33.113281
215.599991,438.0,110.933334,33.113281
228.666672,440.266693,121.866669,33.113281
221.066666,437.333344,120.800003,33.113281
222.399994,438.0,114.799995,33.117188
221.200012,437.733337,123.599998,33.117188
229.199997,440.400024,121.333328,33.113281
223.199997,437.200012,120.0,33.113281
221.866669,433.733337,121.066666,33.113281
225.066666,439.333344,119.599998,33.113281
231.866669,438.93335,121.199997,33.113281
219.866653,439.866669,120.266663,33.113281
219.199997,437.200012,124.266663,33.113281
231.600006,440.533325,122.799995,33.113281
218.666672,441.06665,120.400002,33.117188
223.46666,436.933319,121.199997,33.117188
217.46666,437.200012,114.933327,33.113281
227.199997,439.866669,126.26667,33.117188
222.666656,437.866669,120.666664,33.113281
226.399994,438.533325,120.933334,33.117188
217.066666,433.066681,120.133331,33.113281
226.800003,440.133331,115.066673,33.117188
222.666656,438.266663,124.0,33.113281
221.466675,437.733337,121.333328,33.113281
218.133331,441.466675,119.733337,33.113281
226.933319,435.733337,120.666664,33.113281
220.266663,437.599976,113.866661,33.113281
218.799988,439.466675,120.800003,33.113281
220.400009,438.0,112.666664,33.113281
228.666672,440.266693,123.599998,33.113281
217.733322,437.466675,120.133331,33.117188
228.533325,444.799988,122.533333,33.113281
224.533325,439.466675,123.866661,33.113281
225.200012,439.599976,120.666664,33.113281
223.733337,437.333344,120.533333,33.113281
227.866669,436.666687,121.333328,33.113281
234.533325,440.266693,122.133331,33.113281
216.133331,437.866669,120.0,33.113281
223.333344,444.933319,120.800003,33.113281
