raw yaw,kal yaw,p1,p2,p3,p4
-141.61879,-135.772232,0,3,0,1
-138.903763,-133.063614,0,3,0,1
-135.85994,-130.005585,0,3,0,1
-132.963562,-127.114815,0,3,0,1
-130.13295,-124.289711,0,3,0,1
-127.068428,-121.226318,0,3,0,1
-124.344826,-118.502014,0,3,0,1
-121.422699,-115.574707,0,3,0,1
-118.706375,-112.858765,0,3,0,1
-116.074425,-110.223618,0,3,0,1
-113.548859,-107.695793,0,3,0,1
-110.956245,-105.106865,0,3,0,1
-108.594185,-102.745705,0,3,0,1
-106.087135,-100.242973,0,3,0,1
-103.840576,-97.997116,0,3,0,1
-101.675148,-95.830101,0,3,0,1
-99.278969,-93.42765,0,3,0,1
-97.0121,-91.162285,0,3,0,1
-94.87146,-89.02359,0,3,0,1
-92.86348,-87.019188,0,3,0,1
-90.792404,-84.945641,0,3,0,1
-88.971947,-83.12825,0,3,0,1
-87.046066,-81.198433,0,3,0,1
-84.886261,-79.036301,0,3,0,1
-83.091644,-77.250412,0,3,0,1
-81.206993,-75.356834,0,3,0,1
-79.545105,-73.69487,0,3,0,1
-78.016335,-72.169777,0,3,0,1
-78.928047,-73.082901,0,3,0,1
-74.147095,-68.293083,0,3,0,1
-69.351982,-63.496059,0,3,0,1
-64.53878,-58.686077,0,3,0,1
-60.216949,-54.368999,0,3,0,1
-57.102379,-51.25515,0,3,0,1
-54.36779,-48.51368,0,3,0,1
-51.762272,-45.913227,0,3,0,1
-49.39558,-43.55426,0,3,0,1
-47.692726,-41.858082,0,3,0,1
-47.063446,-41.216988,0,3,0,1
-46.424175,-40.576702,0,3,0,1
-45.041489,-39.20145,0,3,0,1
-44.544022,-38.694695,0,3,0,1
-43.304108,-37.458153,0,3,0,1
-43.626762,-37.778095,0,3,0,1
-43.560013,-37.711895,0,3,0,1
-43.855312,-38.010925,0,3,0,1
-43.075874,-37.232288,0,3,0,1
-44.105316,-38.259716,0,3,0,1
-43.320854,-37.471333,0,3,0,1
-43.615131,-37.771461,0,3,0,1
-43.569717,-37.733433,0,3,0,1
-43.15419,-37.305939,0,3,0,1
-43.103893,-37.25293,0,3,0,1
-43.051086,-37.201706,0,3,0,1
-41.865089,-36.012165,0,3,0,1
-42.565166,-36.718384,0,3,0,1
-41.320461,-35.476902,0,3,0,1
-41.644718,-35.799175,0,3,0,1
-40.292431,-34.449909,0,3,0,1
-39.280533,-33.431469,0,3,0,1
-37.334003,-31.487667,0,3,0,1
-35.561615,-29.707493,0,3,0,1
-33.738834,-27.88788,0,3,0,1
-31.16271,-25.31926,0,3,0,1
-28.989658,-23.145603,0,3,0,1
-25.780453,-19.938366,0,3,0,1
-21.840305,-15.993876,0,3,0,1
-17.87038,-12.03025,0,3,0,1
-14.406591,-8.553649,0,3,0,1
-10.105535,-4.25528,0,3,0,1
-5.50203,0.34052,0,3,0,1
-1.102399,4.750279,0,3,0,1
4.366303,10.211633,0,3,0,1
8.862053,14.711081,0,3,0,1
14.661688,20.509047,0,3,0,1
19.295113,25.143444,0,3,0,1
24.082172,29.926701,0,3,0,1
26.881159,32.725147,0,3,0,1
30.863068,36.704304,0,3,0,1
34.671757,40.523746,0,3,0,1
37.48716,43.340481,0,3,0,1
38.409187,44.259148,0,3,0,1
39.845913,45.696594,0,3,0,1
42.700504,48.540588,0,3,0,1
43.349976,49.191013,0,3,0,1
44.880085,50.722557,0,3,0,1
45.414299,51.257111,0,3,0,1
