mx,my,mz
-105.128212,-726.923096,-215.384628
-108.974365,-737.179504,-214.10257
-105.128212,-725.641052,-221.794876
-105.128212,-733.333374,-212.820526
-106.410263,-729.487183,-215.384628
-103.846161,-725.641052,-212.820526
-105.128212,-733.333374,-223.076935
-110.256416,-725.641052,-212.820526
-102.564102,-728.205139,-223.076935
-107.692314,-726.923096,-211.538467
-108.974365,-730.769226,-216.666672
-107.692314,-724.359009,-212.820526
-102.564102,-734.615417,-219.230774
-117.948723,-726.923096,-210.256424
-105.128212,-735.897461,-221.794876
-105.128212,-723.076965,-221.794876
-106.410263,-738.461548,-216.666672
-108.974365,-719.230774,-217.94873
-108.974365,-732.051331,-214.10257
-105.128212,-730.769226,-223.076935
-110.256416,-726.923096,-211.538467
-103.846161,-730.769226,-224.358978
-108.974365,-729.487183,-215.384628
-108.974365,-735.897461,-224.358978
-100.0,-729.487183,-217.94873
-107.692314,-724.359009,-220.512833
-106.410263,-733.333374,-224.358978
-107.692314,-729.487183,-214.10257
-101.282051,-726.923096,-223.076935
-107.692314,-732.051331,-210.256424
-105.128212,-723.076965,-225.641037
-112.820518,-729.487183,-206.410263
-105.128212,-730.769226,-221.794876
-106.410263,-724.359009,-216.666672
-102.564102,-728.205139,-229.487183
-114.10257,-732.051331,-211.538467
-105.128212,-732.051331,-220.512833
-107.692314,-723.076965,-212.820526
-103.846161,-728.205139,-219.230774
-105.128212,-728.205139,-214.10257
-106.410263,-733.333374,-216.666672
-106.410263,-726.923096,-216.666672
-105.128212,-732.051331,-221.794876
-107.692314,-725.641052,-202.564102
-108.974365,-732.051331,-221.794876
-106.410263,-723.076965,-220.512833
-105.128212,-732.051331,-220.512833
-108.974365,-726.923096,-210.256424
-103.846161,-735.897461,-224.358978
-102.564102,-725.641052,-219.230774
-101.282051,-729.487183,-216.666672
-101.282051,-729.487183,-215.384628
-110.256416,-733.333374,-214.10257
-106.410263,-728.205139,-215.384628
-110.256416,-728.205139,-215.384628
-105.128212,-726.923096,-221.794876
-106.410263,-726.923096,-217.94873
-101.282051,-732.051331,-225.641037
-112.820518,-726.923096,-211.538467
-103.846161,-730.769226,-215.384628
-103.846161,-723.076965,-212.820526
-110.256416,-730.769226,-225.641037
-107.692314,-725.641052,-214.10257
-105.128212,-737.179504,-219.230774
-105.128212,-730.769226,-211.538467
-106.410263,-728.205139,-223.076935
-106.410263,-725.641052,-215.384628
-106.410263,-737.179504,-217.94873
-105.128212,-726.923096,-211.538467
-110.256416,-721.794922,-221.794876
-108.974365,-726.923096,-211.538467
-105.128212,-725.641052,-211.538467
-102.564102,-730.769226,-225.641037
-107.692314,-726.923096,-205.128204
-110.256416,-726.923096,-229.487183
-105.128212,-724.359009,-220.512833
-112.820518,-729.487183,-220.512833
-106.410263,-729.487183,-214.10257
-102.564102,-728.205139,-221.794876
-103.846161,-728.205139,-214.10257
-105.128212,-732.051331,-221.794876
-107.692314,-728.205139,-216.666672
-106.410263,-735.897461,-220.512833
-106.410263,-730.769226,-216.666672
-106.410263,-730.769226,-220.512833
-107.692314,-728.205139,-208.974365
-112.820518,-737.179504,-217.94873
-102.564102,-724.359009,-216.666672
-115.384621,-735.897461,-221.794876
-114.10257,-728.205139,-212.820526
-110.256416,-730.769226,-221.794876
-98.717949,-726.923096,-219.230774
-105.128212,-729.487183,-217.94873
-108.974365,-730.769226,-211.538467
-105.128212,-733.333374,-225.641037
-111.538467,-728.205139,-215.384628
-111.538467,-725.641052,-215.384628
-111.538467,-726.923096,-219.230774
-102.564102,-729.487183,-221.794876
-101.282051,-732.051331,-219.230774
-98.717949,-726.923096,-215.384628
-107.692314,-725.641052,-223.076935
-106.410263,-724.359009,-214.10257
-107.692314,-729.487183,-219.230774
-107.692314,-730.769226,-215.384628
-106.410263,-729.487183,-216.666672
-101.282051,-730.769226,-216.666672
-111.538467,-724.359009,-217.94873
-107.692314,-729.487183,-223.076935
-107.692314,-729.487183,-224.358978
-105.128212,-730.769226,-217.94873
-114.10257,-726.923096,-221.794876
-108.974365,-733.333374,-212.820526
-102.564102,-726.923096,-216.666672
-110.256416,-733.333374,-214.10257
-107.692314,-720.512817,-221.794876
-103.846161,-730.769226,-210.256424
-107.692314,-726.923096,-215.384628
-105.128212,-735.897461,-220.512833
-101.282051,-728.205139,-219.230774
-112.820518,-729.487183,-219.230774
-103.846161,-729.487183,-211.538467
-111.538467,-729.487183,-220.512833
-107.692314,-733.333374,-215.384628
-105.128212,-726.923096,-214.10257
-110.256416,-728.205139,-223.076935
-115.384621,-730.769226,-219.230774
-105.128212,-730.769226,-221.794876
-108.974365,-724.359009,-215.384628
-107.692314,-730.769226,-214.10257
-107.692314,-725.641052,-217.94873
-105.128212,-732.051331,-221.794876
-107.692314,-729.487183,-214.10257
-103.846161,-737.179504,-215.384628
-111.538467,-730.769226,-219.230774
-102.564102,-728.205139,-217.94873
-106.410263,-725.641052,-223.076935
-102.564102,-728.205139,-215.384628
-102.564102,-729.487183,-219.230774
-106.410263,-729.487183,-217.94873
-105.128212,-735.897461,-225.641037
-106.410263,-726.923096,-217.94873
-102.564102,-729.487183,-219.230774
-112.820518,-728.205139,-220.512833
-102.564102,-729.487183,-220.512833
-105.128212,-726.923096,-215.384628
-103.846161,-737.179504,-211.538467
-110.256416,-724.359009,-214.10257
-110.256416,-730.769226,-214.10257
-103.846161,-721.794922,-216.666672
-105.128212,-732.051331,-223.076935
-114.10257,-723.076965,-216.666672
-103.846161,-732.051331,-216.666672
-107.692314,-728.205139,-216.666672
-101.282051,-730.769226,-220.512833
-107.692314,-728.205139,-221.794876
-102.564102,-734.615417,-217.94873
-103.846161,-730.769226,-219.230774
-106.410263,-726.923096,-217.94873
-105.128212,-734.615417,-217.94873
-105.128212,-730.769226,-221.794876
-105.128212,-728.205139,-217.94873
-111.538467,-724.359009,-215.384628
-103.846161,-734.615417,-223.076935
-112.820518,-725.641052,-214.10257
-111.538467,-735.897461,-217.94873
-112.820518,-726.923096,-229.487183
-105.128212,-726.923096,-212.820526
-107.692314,-733.333374,-220.512833
-112.820518,-726.923096,-217.94873
-107.692314,-732.051331,-221.794876
-102.564102,-725.641052,-219.230774
-105.128212,-728.205139,-217.94873
-101.282051,-725.641052,-217.94873
-102.564102,-737.179504,-220.512833
-111.538467,-726.923096,-220.512833
-102.564102,-734.615417,-223.076935
-106.410263,-728.205139,-215.384628
-105.128212,-737.179504,-220.512833
-102.564102,-726.923096,-219.230774
-106.410263,-734.615417,-228.205139
-110.256416,-728.205139,-215.384628
-105.128212,-725.641052,-219.230774
-103.846161,-729.487183,-219.230774
-112.820518,-725.641052,-216.666672
-107.692314,-726.923096,-219.230774
-108.974365,-726.923096,-215.384628
-106.410263,-732.051331,-223.076935
-112.820518,-730.769226,-214.10257
-108.974365,-729.487183,-220.512833
-105.128212,-729.487183,-215.384628
-101.282051,-732.051331,-220.512833
-106.410263,-728.205139,-210.256424
-110.256416,-729.487183,-220.512833
-105.128212,-728.205139,-215.384628
-105.128212,-732.051331,-224.358978
-107.692314,-724.359009,-212.820526
-107.692314,-728.205139,-225.641037
-108.974365,-723.076965,-214.10257
-106.410263,-730.769226,-217.94873
-111.538467,-730.769226,-215.384628
-105.128212,-733.333374,-224.358978
-102.564102,-726.923096,-214.10257
-108.974365,-728.205139,-214.10257
-103.846161,-725.641052,-225.641037
-106.410263,-724.359009,-215.384628
-106.410263,-728.205139,-225.641037
-107.692314,-725.641052,-221.794876
-106.410263,-730.769226,-217.94873
-101.282051,-724.359009,-220.512833
-102.564102,-737.179504,-214.10257
-105.128212,-720.512817,-225.641037
-107.692314,-733.333374,-217.94873
-110.256416,-716.666687,-221.794876
-107.692314,-737.179504,-212.820526
-105.128212,-726.923096,-221.794876
-102.564102,-737.179504,-216.666672
-105.128212,-730.769226,-224.358978
-111.538467,-729.487183,-208.974365
-107.692314,-725.641052,-225.641037
-108.974365,-730.769226,-215.384628
-106.410263,-725.641052,-224.358978
-110.256416,-728.205139,-206.410263
-103.846161,-729.487183,-224.358978
-119.230774,-728.205139,-215.384628
-107.692314,-725.641052,-225.641037
-107.692314,-732.051331,-215.384628
-100.0,-735.897461,-226.92308
-111.538467,-729.487183,-211.538467
-101.282051,-732.051331,-219.230774
-112.820518,-723.076965,-211.538467
-101.282051,-737.179504,-223.076935
-108.974365,-721.794922,-211.538467
-100.0,-734.615417,-223.076935
-101.282051,-725.641052,-212.820526
-100.0,-733.333374,-216.666672
-108.974365,-717.94873,-214.10257
-102.564102,-742.307739,-225.641037
-114.10257,-726.923096,-214.10257
-102.564102,-734.615417,-225.641037
-110.256416,-720.512817,-215.384628
-106.410263,-735.897461,-221.794876
-107.692314,-725.641052,-217.94873
-112.820518,-735.897461,-216.666672
-108.974365,-726.923096,-225.641037
-112.820518,-730.769226,-214.10257
-103.846161,-741.025696,-224.358978
-106.410263,-725.641052,-212.820526
-103.846161,-729.487183,-224.358978
-107.692314,-724.359009,-212.820526
-105.128212,-737.179504,-225.641037
-106.410263,-720.512817,-212.820526
-105.128212,-738.461548,-223.076935
