x,y,z
-206.153854,76.92308,-376.923096
-216.92308,142.307693,-362.307709
16.153847,370.769226,-315.384613
-149.230774,267.692322,-400.0
-229.230774,156.92308,-456.153839
-217.692307,19.23077,-453.846161
-220.769241,-20.769232,-442.307709
-130.0,-85.384621,-358.461548
-16.923077,-68.46154,-273.076935
-240.769241,576.15387,-451.538483
-381.538483,697.692322,-678.461548
-92.307693,334.615387,-470.769226
263.846161,-276.153839,-210.769241
476.15387,3150.769287,270.0
465.384613,-1010.0,87.692307
340.769226,-412.307709,-145.384613
272.307709,-142.307693,-241.538467
357.692322,-196.153854,-193.846161
482.307709,-522.307678,41.538464
489.230774,-896.15387,336.153839
252.307693,3150.769287,607.692322
-43.846153,3150.769287,489.230774
173.07692,3150.769287,92.307693
216.92308,-736.15387,-163.07692
60.769234,-103.076927,-196.153854
-11.538462,239.230774,-327.692322
-51.538464,355.384613,-453.846161
140.0,87.692307,-337.692322
379.230774,-1066.153809,321.538452
380.769226,3150.769287,391.538483
335.384613,3150.769287,530.769226
393.076935,3150.769287,656.923096
307.692322,3150.769287,363.076935
1.538462,-1010.0,467.692322
-123.846153,-1020.769226,766.15387
53.846153,-1076.923096,819.230774
48.46154,3150.769287,1050.769287
-72.307693,3150.769287,901.538452
41.538464,3150.769287,741.538452
18.461538,3150.769287,837.692322
4.615385,3150.769287,943.846191
-98.46154,3150.769287,840.0
-70.0,3150.769287,953.846191
-190.769241,3150.769287,1002.307739
-233.846161,3150.769287,983.076965
-116.153847,3150.769287,1100.0
-372.307709,3150.769287,900.0
-815.384644,-1007.692322,809.230774
-770.769226,-973.076965,820.0
-735.384644,-943.846191,820.769226
-568.461548,-1036.923096,894.615417
-339.230774,3150.769287,1043.076904
-710.0,3150.769287,904.615417
-1160.0,-327.692322,455.384613
3150.769287,340.769226,122.307693
-1341.538452,741.538452,16.153847
-1333.846191,830.769226,-198.461548
-979.230774,570.769226,-466.923096
-801.538452,514.615417,-594.615417
-673.076965,492.307709,-326.923096
-487.692322,852.307678,-293.076935
-910.0,687.692322,-163.846161
-1257.692383,290.0,-241.538467
-911.538452,466.923096,-493.076935
-603.076904,316.923096,-471.538483
-440.0,501.538483,-393.076935
-647.692322,933.846191,-661.538452
-683.846191,1076.923096,-570.0
-564.615417,3150.769287,-506.15387
-515.384644,3150.769287,-592.307678
-610.0,3150.769287,-479.230774
-796.923096,534.615417,-248.461548
-851.538452,353.846161,-308.461548
-595.384644,306.153839,-390.769226
-773.846191,544.615417,-216.153854
-943.076965,535.384644,-300.0
-798.461548,574.615417,-306.153839
-822.307678,715.384644,-195.384613
-651.538452,868.461548,-270.769226
-409.230774,1026.923096,-556.15387
-392.307709,3150.769287,-682.307678
-373.846161,3150.769287,-630.769226
-500.0,3150.769287,-466.15387
-713.076965,1008.461548,-404.615387
-841.538452,827.692322,-499.230774
-746.15387,816.923096,-569.230774
-710.769226,840.769226,-535.384644
-736.15387,830.0,-476.923096
-800.0,837.692322,-383.076935
-848.461548,834.615417,-288.461548
-1038.461548,651.538452,-83.076927
-921.538452,748.461548,-67.692307
-1109.230835,783.076965,-226.153854
-1147.692383,763.846191,-422.307709
-510.0,974.615417,-299.230774
-580.0,1048.461548,-183.07692
-448.461548,1072.307739,-226.153854
-514.615417,976.923096,-166.153854
-1092.307739,1023.076965,-370.769226
-977.692322,905.384644,-189.230774
-983.076965,562.307678,83.846153
-1133.076904,396.153839,213.07692
-1118.461548,532.307678,208.461548
-907.692322,840.0,100.0
-763.076965,846.923096,101.53846
-885.384644,859.230774,-8.461538
-1128.461548,1040.0,-336.153839
-846.923096,817.692322,-153.846161
-1109.230835,583.076904,57.69231
-1316.153931,160.769226,236.92308
-1011.538452,-437.692322,590.769226
-1020.0,-346.923096,561.538452
-1326.923096,48.46154,338.461548
-1254.615356,-96.153847,493.846161
-1030.0,-806.923096,733.076965
-871.538452,3150.769287,893.846191
-222.307693,3150.769287,1097.692383
414.615387,3150.769287,772.307678
507.692322,-895.384644,560.769226
229.230774,-863.076965,366.923096
254.615387,-973.076965,383.076935
307.692322,-504.615387,191.538467
175.384613,-21.538462,-118.46154
217.692307,-95.384621,-59.23077
272.307709,69.230774,-114.615387
244.615387,302.307709,-176.153854
368.461548,-180.769241,274.615387
150.769226,-526.15387,266.923096
144.615387,-430.769226,200.769241
456.153839,-106.92308,128.461548
666.923096,133.07692,-128.461548
462.307709,155.384613,-125.384621
-83.846153,69.230774,-228.461548
-20.0,92.307693,-143.846161
-133.07692,170.0,-174.615387
288.461548,-59.23077,243.076935
600.0,219.230774,-33.076923
454.615387,299.230774,-36.153847
31.538462,-90.0,46.923077
-164.615387,-152.307693,-139.230774
-84.615387,-284.615387,-104.615387
316.923096,-627.692322,266.153839
339.230774,-291.538452,100.769234
320.769226,-219.230774,143.846161
349.230774,74.615387,9.230769
310.0,-8.461538,190.769241
10.769231,-350.0,154.615387
-46.923077,-332.307709,-13.846154
19.23077,-308.461548,143.846161
241.538467,-169.230774,169.230774
148.461548,43.076923,44.615387
163.07692,227.692307,92.307693
256.153839,505.384613,27.692308
-108.46154,410.769226,-17.692308
-294.615387,333.076935,-243.846161
-87.692307,-110.769234,-141.538467
142.307693,-303.846161,250.0
492.307709,81.53846,129.230774
450.769226,221.538467,-43.076923
225.384613,385.384613,70.769234
73.846153,-172.307693,154.615387
284.615387,-539.230774,362.307709
469.230774,-236.153854,265.384613
519.230774,-188.461548,66.153847
417.692322,446.153839,-226.153854
411.538483,681.538452,-225.384613
292.307709,612.307678,66.92308
-178.461548,273.076935,-17.692308
-154.615387,-62.307693,-161.538467
-125.384621,-169.230774,-150.0
204.615387,-517.692322,314.615387
403.076935,-4.615385,113.846153
320.769226,133.07692,-36.153847
320.0,223.07692,-139.230774
323.076935,396.923096,-33.846153
186.92308,0.769231,175.384613
38.46154,-396.153839,162.307693
93.846153,-305.384613,185.384613
411.538483,-178.461548,276.153839
394.615387,313.076935,127.692307
289.230774,428.461548,33.076923
222.307693,746.15387,-140.0
55.384617,663.076965,43.076923
-136.153854,269.230774,60.0
-150.769226,183.07692,27.692308
83.846153,490.0,-3.846154
117.692307,771.538452,-187.692307
205.384613,815.384644,-202.307693
203.07692,707.692322,26.153847
-540.0,626.923096,-150.0
-160.769226,90.0,-180.769241
151.538467,-937.692322,487.692322
510.769226,-1011.538452,798.461548
540.769226,-546.15387,473.846161
424.615387,-247.692307,274.615387
139.230774,-60.769234,97.692307
286.153839,-643.846191,250.0
-359.230774,3150.769287,1261.538452
-180.0,3150.769287,1046.923096
0.0,3150.769287,1113.846191
-88.46154,3150.769287,1170.0
-1267.692383,203.846161,407.692322
-1340.0,481.538483,293.846161
-1120.769287,100.0,616.15387
-1180.0,99.230774,384.615387
-590.0,390.769226,-62.307693
-136.153854,417.692322,-70.0
-268.461548,345.384613,-156.92308
-749.230774,581.538452,-392.307709
-669.230774,657.692322,-263.076935
-326.153839,765.384644,67.692307
-93.846153,3150.769287,-73.076927
-530.769226,3150.769287,29.23077
-59.23077,360.0,-190.0
-220.0,237.692307,-61.538464
-629.230774,834.615417,103.846153
-475.384613,3150.769287,-1.538462
-573.076904,1000.769226,126.92308
-1079.230835,930.769226,-176.153854
-623.076904,810.0,-245.384613
-636.923096,713.846191,-229.230774
-330.0,779.230774,102.307693
-428.461548,945.384644,83.076927
-640.769226,785.384644,67.692307
-670.769226,590.769226,-9.230769
-667.692322,593.076904,-4.615385
-673.846191,595.384644,-15.384616
-800.769226,625.384644,-5.384615
-926.15387,608.461548,-90.0
-723.846191,509.230774,-223.07692
-689.230774,413.076935,-310.769226
73.846153,563.846191,70.769234
201.538467,529.230774,106.153847
-483.076935,862.307678,16.923077
-988.461548,933.846191,70.769234
-633.076904,724.615417,226.92308
-281.538452,740.769226,4.615385
-499.230774,556.923096,274.615387
-935.384644,541.538452,340.0
-901.538452,816.923096,74.615387
-232.307693,781.538452,96.153847
-119.230774,783.846191,-282.307709
-100.769234,840.0,-181.538467
-476.15387,844.615417,96.153847
-733.846191,1013.076965,-78.46154
-380.0,817.692322,101.53846
-147.692307,782.307678,6.923077
-390.769226,699.230774,105.384621
-453.846161,697.692322,193.846161
-893.076965,911.538452,22.307693
-553.846191,1018.461548,-363.846161
-669.230774,856.923096,-86.92308
-539.230774,822.307678,53.846153
-180.769241,1038.461548,-286.153839
-390.769226,982.307739,-162.307693
-483.076935,916.15387,-106.92308
-797.692322,916.923096,-129.230774
-540.0,876.15387,-86.92308
-408.461548,656.923096,-83.846153
-459.230774,695.384644,-51.538464
-690.769226,3150.769287,-535.384644
-800.0,3150.769287,-456.923096
-362.307709,783.076965,-223.846161
-466.15387,540.0,106.153847
-657.692322,888.461548,-280.0
-816.15387,3150.769287,-565.384644
-973.846191,1039.230835,-324.615387
-519.230774,959.230774,-54.615387
-480.769226,852.307678,-258.461548
-583.846191,593.076904,-37.692307
-580.769226,567.692322,-0.769231
-767.692322,516.15387,206.92308
-1130.769287,560.0,15.384616
-1029.230835,181.538467,318.461548
-563.846191,523.846191,-16.153847
-463.846161,-76.92308,113.076927
-56.153847,-865.384644,542.307678
336.153839,3150.769287,723.076965
704.615417,3150.769287,659.230774
973.846191,-957.692322,338.461548
952.307739,-303.076935,-5.384615
815.384644,130.769226,-206.92308
830.769226,97.692307,-214.615387
842.307678,189.230774,-382.307709
719.230774,32.307693,-190.769241
