x,y,z
652.564148,996.15387,701.282104
1043.589722,576.923096,601.282043
432.0513,1203.846191,835.897461
-230.769241,1276.923096,584.615417
279.487183,1037.179565,676.923096
-67.948723,1179.487183,507.692322
141.02565,1033.333374,624.359009
421.794891,648.717957,824.359009
312.820526,869.230774,762.820557
375.641052,621.794922,971.794922
384.615387,862.820557,828.205139
112.820518,332.0513,391.025665
-129.487183,938.461548,548.717957
165.384628,452.564117,453.846161
305.128204,20.512821,382.0513
-278.205139,933.333374,552.564148
-558.974365,1050.0,528.205139
-315.384613,850.0,617.94873
355.128204,-621.794922,-93.589745
708.974365,-1100.0,-410.256409
814.1026,-241.02565,288.461548
-802.564148,571.794861,106.410263
-562.820557,-933.333374,-565.384644
-185.897446,-906.410278,-547.435913
-747.435913,173.076935,-157.692307
-94.871796,519.230774,401.282074
620.512817,-1289.743652,-417.94873
516.666687,-1364.102661,-382.0513
-292.307709,1130.769287,356.410278
-855.128235,619.230774,-298.717957
-750.0,1047.435913,-8.97436
675.641052,520.512817,442.307709
541.025635,-1574.359009,-285.89743
1000.000061,-728.205139,257.692322
-39.743591,1233.333374,242.307693
-750.0,1106.410278,-179.487183
106.410263,1334.615479,314.10257
755.128235,-1008.974365,-34.615387
151.282059,1069.230835,376.923096
-246.153854,1501.282104,415.384644
-310.256409,1211.538452,355.128204
-60.256413,919.230774,153.846161
-83.333336,937.179504,115.384621
-117.948723,1093.589722,150.0
-637.179504,961.538513,366.666687
-491.025665,761.538513,676.923096
-600.0,846.15387,674.359009
-633.333374,991.025696,416.666687
-370.512848,1192.307739,344.871796
-328.205139,1133.333374,302.564117
-600.0,1278.2052,294.871796
-717.94873,1225.641113,271.794891
-442.307709,1365.384644,89.743591
-446.15387,1441.025635,155.128204
-593.589783,1270.512817,151.282059
-650.0,892.307739,387.179504
-674.359009,853.846191,714.1026
-684.615417,924.359009,628.205139
-676.923096,985.897461,576.923096
-510.256439,846.15387,356.410278
-776.923096,1152.564087,333.333344
-834.615417,1239.743652,433.333344
-698.717957,1257.692383,356.410278
-458.974365,1247.435913,239.743591
-455.128235,1089.743652,212.820526
-779.487183,1037.179565,21.794872
337.179504,-1110.25647,-288.461548
782.051331,-103.846161,271.794891
632.051331,575.641052,5627.0
632.051331,575.641052,501.282074
-125.641029,1246.153931,148.717957
-120.512825,1232.05127,257.692322
-125.641029,1314.102661,319.230774
-12.820513,1391.025635,342.307709
-180.769241,1482.051392,352.564117
-211.538467,1462.820557,357.692322
-205.128204,1455.128296,315.384613
-207.692322,1452.564209,326.923096
-206.410263,1458.974365,310.256409
-210.256424,1458.974365,344.871796
-205.128204,1458.974365,321.794891
-205.128204,1455.128296,344.871796
-196.153854,1456.410278,301.282074
-207.692322,1458.974365,337.179504
-205.128204,1452.564209,330.769257
-207.692322,1456.410278,346.15387
-200.0,1455.128296,312.820526
-206.410263,1451.282104,320.512817
-203.846161,1460.25647,332.0513
-210.256424,1458.974365,343.589752
-205.128204,1455.128296,325.641022
-202.564102,1457.692383,315.384613
-206.410263,1456.410278,348.717957
-203.846161,1456.410278,325.641022
-207.692322,1462.820557,343.589752
-202.564102,1461.538452,305.128204
-205.128204,1461.538452,328.205139
-201.282059,1453.846191,312.820526
-205.128204,1460.25647,342.307709
-206.410263,1456.410278,319.230774
-205.128204,1457.692383,315.384613
-203.846161,1455.128296,344.871796
-202.564102,1450.0,307.692322
-210.256424,1453.846191,326.923096
-207.692322,1455.128296,310.256409
-206.410263,1457.692383,333.333344
-210.256424,1450.0,337.179504
-203.846161,1456.410278,323.076935
-210.256424,1453.846191,320.512817
-205.128204,1453.846191,325.641022
-211.538467,1453.846191,335.897461
-207.692322,1455.128296,311.538483
-203.846161,1457.692383,347.435913
-205.128204,1455.128296,317.94873
