x,y,z
-268.93335,184.799988,-156.800003
-335.466644,32.799999,-154.933334
-276.399994,188.266663,-152.800003
-0.8,266.266663,-152.266663
204.799988,154.266663,-147.333344
282.666656,46.399998,-102.266663
200.533325,166.800003,-166.0
155.066666,207.066666,-135.466675
256.266663,53.866669,-128.0
234.0,83.46666,-149.600006
89.066666,232.53334,-183.333344
-151.066666,277.866669,-172.0
-285.733337,180.0,-140.933334
-240.533325,227.733322,-119.333336
-44.933334,317.199982,-82.933334
-97.866669,283.066681,-185.066666
-212.666656,243.199997,-149.199997
-196.800003,283.066681,-117.333336
3.333333,336.399994,-78.666672
174.799988,251.466675,-67.066666
207.066666,190.400009,-109.066666
215.333328,168.799988,-124.266663
261.733337,87.866669,-109.599998
259.333313,106.26667,-109.733337
247.866669,138.0,-111.599998
184.266663,199.466675,-146.800003
-265.600006,213.199997,-135.733337
-192.0,264.266663,-133.333328
-84.933327,307.600006,-128.800003
28.533333,314.133331,-116.0
162.53334,261.733337,-101.599998
248.533325,168.933334,-84.133331
272.399994,111.466667,-78.0
108.933334,266.933319,-171.866669
-141.733337,296.0,-156.933334
-257.333344,246.666656,-114.799995
-22.0,324.133331,-109.866669
234.400009,199.466675,-33.733334
278.0,91.466667,-56.533333
173.600006,231.200012,-109.466667
-7.733333,308.399994,-132.0
-152.533325,284.0,-133.866669
-254.400009,231.466675,-111.066666
-318.533325,182.133331,-74.666664
-217.199997,293.466675,-29.733334
79.733337,335.600006,6.933333
254.933334,187.333344,-29.866667
298.666656,93.46666,-23.599998
254.533325,173.199997,-56.0
170.266663,270.133331,-80.933334
3.333333,340.400024,-98.0
-102.666664,331.866699,-96.800003
30.666666,337.200012,-32.799999
243.866669,189.733337,-26.933334
316.666656,79.066666,93.199997
265.733337,181.333328,78.0
49.733334,341.600006,0.933333
-221.600006,325.466644,58.800003
-330.400024,215.466675,165.066666
-193.066681,326.799988,148.666672
99.333336,337.599976,114.799995
273.200012,189.199997,98.933334
321.866699,30.4,78.133331
298.0,131.199997,71.73333
91.333328,340.666656,83.599998
-167.600006,348.133301,124.799995
-110.666664,358.93335,147.733337
150.533325,315.733337,150.266663
264.533325,191.733337,214.666672
230.93335,234.133331,152.399994
-0.666667,374.933319,120.933334
-217.199997,330.0,180.800003
-217.866669,330.800018,173.199997
-207.333344,340.800018,153.866669
-18.4,385.600006,99.599998
213.333344,269.866669,40.933334
263.066681,219.333328,96.666672
172.266678,332.666656,65.866669
-58.26667,406.799988,105.333336
-239.333328,338.0,138.933334
-62.533337,402.266663,100.400002
