theta,phi,temp
0.0,0.0,24.8125
1.162431,-5.2e-05,24.8125
1.275687,5.497787,24.84375
1.268726,0.762009,24.875
1.275687,5.497787,24.875
1.275687,2.356194,24.875
1.275687,2.356194,24.9375
8.4e-05,0.004901,24.96875
0.0,0.0,24.96875
1.275687,2.356194,25.0
1.268726,0.762009,25.03125
0.0,0.0,25.03125
8.4e-05,0.004901,25.03125
1.165034,-0.000253,25.09375
1.268726,0.762009,25.15625
1.268726,0.762009,25.15625
0.0,0.0,25.15625
1.268726,0.762009,25.15625
1.275687,2.356194,25.1875
0.0,0.0,25.21875
8.4e-05,0.004901,25.25
0.0,0.0,25.25
1.275687,5.497787,25.28125
1.162912,1.570909,25.3125
1.275687,2.356194,25.34375
0.0,0.0,25.34375
1.275687,2.356194,25.40625
0.0,0.0,25.40625
0.0,0.0,25.4375
1.162912,1.570909,25.4375
1.275687,2.356194,25.5
0.0,0.0,25.5
1.162912,1.570909,25.53125
0.0,0.0,25.5625
1.203711,2.034444,25.5625
1.193501,1.243066,25.59375
1.275687,2.356194,25.625
1.162912,1.570909,25.65625
1.275687,2.356194,25.65625
1.165034,-0.000253,25.71875
0.0,0.0,25.75
1.275687,3.926991,25.75
0.0,0.0,25.8125
1.183551,1.892547,25.84375
1.275687,5.497787,25.875
1.275687,2.356194,25.875
1.268726,0.762009,25.90625
1.162912,1.570909,25.9375
8.4e-05,0.004901,25.96875
1.275687,2.356194,25.96875
1.275687,2.356194,26.0
1.162431,-5.2e-05,26.0
1.165034,-0.000253,26.0
0.0,0.0,26.03125
0.0,0.0,26.0625
1.275687,2.356194,26.09375
0.0,0.0,26.09375
0.0,0.0,26.09375
0.0,0.0,26.15625
1.268726,0.762009,26.15625
1.275687,2.356194,26.1875
1.165034,-0.000253,26.1875
1.268726,0.762009,26.21875
1.268726,0.762009,26.25
0.0,0.0,26.28125
1.268726,0.762009,26.28125
1.275687,2.356194,26.3125
0.0,0.0,26.34375
0.0,0.0,26.375
0.0,0.0,26.40625
1.268726,0.762009,26.40625
8.4e-05,0.004901,26.4375
1.268726,0.762009,26.4375
0.0,0.0,26.5
1.275687,2.356194,26.5
0.0,0.0,26.5625
1.275687,2.356194,26.5625
1.268726,0.762009,26.59375
0.0,0.0,26.625
0.0,0.0,26.625
1.275687,5.497787,26.6875
1.268726,0.762009,26.6875
1.275687,2.356194,26.6875
1.268726,0.762009,26.71875
0.814841,2.368205,26.75
1.275687,2.356194,26.8125
0.0,0.0,26.8125
0.0,0.0,26.8125
1.162912,1.570909,26.84375
0.0,0.0,26.90625
1.275687,5.497787,26.9375
1.006796,2.371021,26.9375
1.268726,0.762009,26.96875
0.0,0.0,27.0
1.268726,0.762009,27.0
0.824454,0.762009,27.0625
1.268726,0.762009,27.0625
1.162912,1.570909,27.09375
1.268726,0.762009,27.125
1.275687,2.356194,27.125
1.275687,3.926991,27.125
8.4e-05,0.004901,27.15625
1.162912,1.570909,27.1875
0.0,0.0,27.1875
0.0,0.0,27.1875
1.268726,0.762009,27.21875
1.165034,-0.000253,27.28125
8.4e-05,0.004901,27.28125
0.0,0.0,27.28125
1.268726,0.762009,27.34375
1.275687,2.356194,27.34375
1.275687,3.926991,27.375
0.0,0.0,27.40625
8.4e-05,0.004901,27.4375
1.183551,1.892547,27.46875
0.814841,2.368205,27.46875
0.8168,3.95544,27.5
1.275687,2.356194,27.5625
1.268726,0.762009,27.59375
1.165034,-0.000253,27.5625
0.814841,2.368205,27.59375
8.4e-05,0.004901,27.6875
1.275687,2.356194,27.71875
1.165034,-0.000253,27.71875
1.275687,5.497787,27.71875
1.275687,2.356194,27.75
0.0,0.0,27.78125
1.268726,0.762009,27.78125
1.268726,0.762009,27.78125
0.0,0.0,27.84375
1.268726,0.762009,27.84375
8.4e-05,0.004901,27.84375
1.275687,2.356194,27.90625
1.275687,2.356194,27.90625
1.217617,2.601173,28.0
0.0,0.0,28.0
0.0,0.0,28.03125
0.0,0.0,28.0625
1.275687,5.497787,28.0625
1.268726,0.762009,28.09375
0.0,0.0,28.125
1.162912,1.570909,28.125
1.275687,5.497787,28.15625
0.0,0.0,28.1875
0.0,0.0,28.25
1.162912,1.570909,28.25
1.268726,0.762009,28.25
0.0,0.0,28.3125
1.165034,-0.000253,28.34375
