x,y,z,temp
-0.523874,-0.040732,0.015657,38.37706
-0.137418,-0.400754,-0.024774,38.394707
-0.473461,-0.37505,-0.084548,38.391766
-0.088096,-0.105169,0.000515,38.40353
-0.577437,-0.078173,-0.039138,38.380001
0.000611,-0.454974,-0.122027,38.347649
-0.034957,-0.181478,-0.052469,38.380001
-0.600446,-0.0704,-0.024211,38.388824
-0.546473,-0.05566,-0.046113,38.406471
-0.075301,-0.295064,0.022841,38.397648
-0.079819,-0.05969,-0.006777,38.391766
-0.631824,-0.115697,-0.002031,38.385883
-0.098664,-0.401034,-0.07767,38.40353
-0.489636,0.217104,-0.03611,38.406471
-0.065388,-0.143294,-0.022219,38.391766
-0.669616,-0.115321,-0.056353,38.418236
-0.12151,-0.362923,-0.039619,38.362354
-0.5592,0.134242,-0.076097,38.418236
-0.60856,-0.085542,0.006205,38.400589
0.023577,-0.432429,-0.090853,38.400589
-0.484453,-0.003043,-0.060027,38.409412
-0.269344,-0.536267,-0.012556,38.427059
-0.532404,-0.101398,0.030532,38.385883
-0.091197,-0.439021,-0.108348,38.415295
-0.532085,-0.108946,-0.015456,38.400589
-0.560348,0.096225,0.0003,38.406471
-0.593648,-0.169098,-0.062847,38.438824
-0.045352,-0.356037,0.015454,38.40353
-0.560414,0.11896,0.038704,38.421177
-0.23647,-0.407436,-0.087934,38.444706
-0.571328,-0.199681,-0.031935,38.400589
-0.102605,-0.112538,-0.099367,38.441765
-0.531642,-0.033097,0.038527,38.43
-0.17712,-0.506696,-0.010694,38.424118
-0.58671,-0.24504,-0.086053,38.435883
0.01858,-0.174361,-0.036116,38.424118
-0.590486,0.096535,-0.05388,38.424118
-0.204006,-0.255904,-0.086615,38.406471
-0.54129,-0.275807,-0.07003,38.427059
-0.065762,-0.219136,-0.08386,38.424118
-0.607291,0.013131,-0.000968,38.427059
-0.190888,-0.430606,-0.079531,38.427059
-0.511273,-0.336773,-0.085075,38.432941
-0.104243,-0.24157,-0.092344,38.435883
-0.608607,-0.100707,-0.009187,38.441765
-0.121997,-0.431196,-0.078247,38.427059
-0.49679,-0.359728,-0.023635,38.424118
-0.018817,-0.113301,-0.051847,38.43
-0.58654,-0.146477,0.029309,38.432941
-0.098823,-0.385889,-0.039303,38.427059
-0.103111,-0.142911,-0.0842,38.432941
-0.575986,0.012938,-0.076981,38.438824
-0.647408,-0.115593,0.028317,38.453529
-0.030232,-0.416831,-0.045827,38.444706
-0.108664,0.046877,-0.060433,38.435883
-0.547765,-0.161916,-0.046637,38.432941
-0.61735,-0.229619,-0.063574,38.438824
-0.058543,-0.226826,-0.045463,38.447647
-0.125517,-0.051692,-0.022912,38.45647
-0.616889,-0.19167,-0.063387,38.453529
-0.006095,-0.348686,-0.083354,38.468235
-0.576325,0.058387,0.022802,38.441765
-0.117078,0.001384,-0.037825,38.468235
-0.556871,-0.252961,-0.008936,38.453529
-0.073277,-0.196315,-0.068574,38.462353
-0.630006,-0.016969,-0.070471,38.465294
-0.177787,0.017122,-0.077183,38.468235
-0.550066,-0.283434,0.044666,38.447647
-0.065968,-0.219157,-0.060885,38.462353
-0.637402,0.043767,-0.016706,38.468235
-0.050656,-0.196546,-0.029854,38.471176
-0.622299,0.043615,0.006555,38.465294
-0.577108,0.005245,0.037858,38.474117
-0.20539,-0.36975,-0.087176,38.474117
-0.512352,-0.374783,-0.016336,38.468235
-0.036199,-0.249826,-0.006855,38.459412
-0.630699,-0.085262,-0.086124,38.477058
-0.039568,-0.51548,0.007153,38.488823
-0.111092,-0.203522,-0.130592,38.488823
-0.157224,-0.180407,-0.077727,38.474117
-0.639483,-0.161115,-0.063665,38.48
-0.031059,-0.439656,0.015328,38.485882
0.010396,-0.212251,-0.028788,38.474117
-0.523734,-0.017977,0.031086,38.503529
-0.100925,-0.575611,-0.063213,38.482941
-0.528835,0.118793,-0.067943,38.48
-0.079156,-0.067204,-0.091056,38.509411
-0.654371,-0.069975,0.013082,38.50647
-0.045752,-0.462204,-0.084628,38.512352
-0.476905,0.072686,0.055365,38.497646
-0.094093,-0.013972,-0.060446,38.477058
-0.654788,-0.1155,-0.002459,38.48
-0.027972,-0.242254,-0.060284,38.503529
-0.005032,-0.250034,-0.067552,38.491764
-0.025846,-0.044949,-0.028678,38.500587
-0.648264,-0.214225,-0.010461,38.509411
-0.006024,-0.325938,-0.060267,38.474117
-0.560419,0.073476,-0.022788,38.515293
-0.63904,-0.085266,-0.009683,38.494705
-0.571996,-0.23765,-0.009146,38.50647
