theta,phi,temp
1.275687,2.356194,38.71875
0.0,0.0,38.75
1.275687,5.497787,38.75
1.275687,2.356194,38.75
1.268726,0.762009,38.75
0.0,0.0,38.75
1.275687,2.356194,38.75
1.246921,2.245537,38.75
1.275687,3.926991,38.71875
1.275687,2.356194,38.75
0.0,0.0,38.75
1.268726,0.762009,38.75
1.275687,2.356194,38.75
0.0,0.0,38.75
1.171656,1.768359,38.71875
0.824454,0.762009,38.75
0.0,0.0,38.75
0.0,0.0,38.75
1.275687,3.926991,38.75
1.275687,5.497787,38.75
1.275687,2.356194,38.75
0.0,0.0,38.75
1.275687,2.356194,38.71875
0.0,0.0,38.75
1.268726,0.762009,38.75
1.268726,0.762009,38.75
1.268726,0.762009,38.75
0.0,0.0,38.75
0.0,0.0,38.75
1.268726,0.762009,38.75
0.0,0.0,38.75
1.275687,2.356194,38.78125
0.0,0.0,38.78125
1.275687,3.926991,38.75
1.162912,1.570909,38.75
1.275687,2.356194,38.75
1.275687,2.356194,38.78125
1.268726,0.762009,38.75
1.268726,0.762009,38.75
1.275687,2.356194,38.78125
0.0,0.0,38.75
1.275687,2.356194,38.75
1.275687,2.356194,38.78125
0.0,0.0,38.75
1.275687,5.497787,38.75
0.0,0.0,38.75
1.203711,2.034444,38.75
1.243647,2.231839,38.78125
1.193501,1.243066,38.75
0.0,0.0,38.75
0.0,0.0,38.78125
0.0,0.0,38.75
0.0,0.0,38.78125
0.828456,1.574858,38.78125
1.275687,2.356194,38.78125
1.275687,2.356194,38.78125
0.0,0.0,38.78125
0.0,0.0,38.78125
1.233452,2.356194,38.75
1.246921,2.245537,38.78125
0.0,0.0,38.78125
1.268726,0.762009,38.78125
1.268726,0.762009,38.78125
1.268726,0.762009,38.75
0.0,0.0,38.78125
0.0,0.0,38.78125
0.0,0.0,38.78125
0.0,0.0,38.78125
1.275687,2.356194,38.78125
1.275687,2.356194,38.78125
1.275687,2.356194,38.75
0.0,0.0,38.78125
0.0,0.0,38.78125
1.203711,2.034444,38.78125
1.275687,2.356194,38.8125
1.275687,2.356194,38.8125
1.2259,2.356194,38.78125
1.268726,0.762009,38.78125
0.0,0.0,38.78125
0.0,0.0,38.78125
0.0,0.0,38.78125
1.275687,2.356194,38.78125
0.0,0.0,38.78125
1.275687,2.356194,38.78125
0.0,0.0,38.8125
1.275687,3.926991,38.8125
1.275687,2.356194,38.78125
1.268726,0.762009,38.8125
1.275687,2.356194,38.78125
0.0,0.0,38.8125
0.0,0.0,38.78125
1.275687,2.356194,38.8125
1.268726,0.762009,38.78125
0.0,0.0,38.8125
1.275687,2.356194,38.78125
1.275687,2.356194,38.8125
1.239548,2.214298,38.8125
1.275687,2.356194,38.78125
0.0,0.0,38.8125
0.0,0.0,38.8125
0.0,0.0,38.8125
1.263386,2.310771,38.8125
1.275687,2.356194,38.8125
0.0,0.0,38.8125
1.268726,0.762009,38.8125
1.275687,2.356194,38.8125
0.0,0.0,38.8125
1.183551,1.892547,38.8125
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.239548,2.214298,38.8125
1.275687,3.926991,38.8125
1.275687,2.356194,38.8125
1.275687,2.356194,38.8125
1.268726,0.762009,38.8125
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.275687,2.356194,38.8125
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.275687,3.926991,38.8125
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.207701,2.057696,38.8125
1.275687,5.497787,38.8125
1.275687,5.497787,38.8125
1.275687,2.356194,38.84375
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.275687,2.356194,38.84375
1.275687,2.356194,38.8125
0.0,0.0,38.8125
0.0,0.0,38.8125
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.183551,1.892547,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.268726,0.762009,38.84375
0.0,0.0,38.8125
1.275687,2.356194,38.8125
1.275687,2.356194,38.84375
1.246921,2.245537,38.8125
1.275687,2.356194,38.84375
