mx,my,mz,temp
203.866669,425.866669,68.133331,29.335938
205.066666,423.066681,77.733337,29.335938
203.866669,433.200012,70.266663,29.335938
203.066681,424.399994,79.866669,29.332031
201.600006,431.600006,68.0,29.335938
201.733337,422.266663,71.866669,29.335938
205.599991,434.666687,74.400002,29.335938
201.466675,422.400024,77.066666,29.335938
202.133331,434.399994,71.333328,29.335938
205.733337,421.733337,73.066666,29.332031
200.0,434.266663,73.466667,29.335938
201.200012,422.133331,69.866669,29.335938
202.933334,434.533356,76.666664,29.332031
204.533325,424.933319,68.26667,29.335938
199.733337,432.0,82.399994,29.335938
206.53334,422.266663,68.533333,29.332031
203.199997,434.0,80.933334,29.335938
203.199997,428.399994,68.933334,29.332031
205.333328,430.266693,81.333328,29.332031
204.0,426.666687,69.199997,29.332031
202.53334,431.866699,80.800003,29.332031
199.599991,434.0,69.333336,29.332031
203.733337,424.133331,80.933334,29.332031
202.666656,430.133331,66.933334,29.332031
202.933334,427.466675,84.933327,29.332031
202.933334,434.533356,73.866669,29.332031
204.266663,420.93335,76.133331,29.332031
202.266678,434.399994,70.933334,29.332031
203.199997,421.866699,80.400002,29.332031
203.199997,435.466644,78.400002,29.332031
202.399994,421.600006,70.133331,29.328125
202.53334,435.466644,76.533333,29.332031
204.0,420.533325,74.0,29.332031
201.333328,432.93335,81.73333,29.332031
204.799988,423.866638,63.866669,29.328125
201.600006,434.399994,78.26667,29.332031
205.200012,419.866669,71.866669,29.332031
207.199997,429.466675,81.73333,29.332031
203.600006,427.733337,66.266663,29.332031
204.666672,432.266663,83.066666,29.332031
202.933334,426.799988,65.066666,29.332031
202.133331,422.93335,82.533333,29.332031
203.199997,432.0,65.599998,29.328125
202.133331,425.466644,84.399994,29.328125
203.866669,431.600006,64.133331,29.332031
204.133331,420.533325,76.0,29.328125
204.0,433.733337,72.666672,29.332031
202.800003,422.266663,77.466667,29.328125
204.0,432.266663,72.0,29.328125
201.866669,422.133331,67.600006,29.328125
208.133331,429.599976,79.599998,29.328125
203.199997,428.800018,68.933334,29.328125
203.46666,429.466675,83.46666,29.328125
200.133347,433.200012,67.333328,29.328125
208.133331,424.133331,82.0,29.332031
202.0,434.399994,68.800003,29.328125
205.466675,423.200012,81.866669,29.328125
200.666672,434.399994,72.399994,29.328125
206.666656,420.133331,75.73333,29.328125
202.266678,435.200012,74.0,29.328125
204.0,421.733337,74.933334,29.324219
200.266663,432.533325,81.066666,29.324219
206.399994,421.866699,69.466667,29.328125
202.666656,434.933319,77.866669,29.324219
204.533325,420.93335,69.866669,29.324219
204.533325,430.133331,79.333336,29.324219
203.333344,424.533356,70.533333,29.324219
204.533325,432.133331,78.26667,29.324219
204.666672,423.066681,71.866669,29.324219
210.0,429.06665,80.0,29.324219
201.066666,429.199982,68.26667,29.324219
201.600006,429.06665,85.333336,29.324219
202.933334,428.93335,65.866669,29.324219
205.866669,421.600006,79.733337,29.324219
199.866653,434.666687,69.466667,29.324219
205.866669,424.533356,82.266663,29.324219
202.933334,433.600006,67.466667,29.320312
204.533325,420.266693,72.800003,29.324219
201.066666,433.733337,76.400002,29.324219
205.866669,421.199982,76.400002,29.320312
200.666672,433.066681,72.0,29.324219
205.733337,422.533325,71.866669,29.320312
201.866669,434.799988,76.799995,29.320312
204.666672,421.06665,70.133331,29.320312
201.600006,434.666687,76.133331,29.320312
203.199997,424.933319,66.400002,29.324219
203.733337,431.199982,81.866669,29.320312
204.266663,426.666687,62.666668,29.320312
206.800003,431.06665,84.666664,29.320312
205.333328,432.533325,64.26667,29.320312
203.066681,427.599976,84.0,29.320312
201.200012,428.93335,65.599998,29.320312
204.0,429.599976,84.133331,29.320312
201.600006,434.266663,68.800003,29.320312
206.399994,423.866638,82.666664,29.320312
202.133331,432.799988,67.066666,29.316406
202.0,425.600006,84.266663,29.316406
200.800003,433.866638,75.199997,29.316406
199.333328,422.799988,74.666664,29.320312
202.800003,433.066681,73.466667,29.320312
202.933334,423.066681,75.599998,29.320312
202.933334,432.0,82.399994,29.316406
200.93335,427.866669,66.400002,29.316406
206.399994,430.400024,81.066666,29.316406
201.200012,427.866669,67.199997,29.320312
209.333328,426.133362,82.399994,29.316406
198.266663,432.133331,70.666664,29.316406
208.533325,426.399994,81.333328,29.316406
200.400009,432.799988,67.199997,29.316406
205.866669,424.0,77.066666,29.316406
200.533325,433.466675,72.266663,29.316406
207.333344,421.600006,76.666664,29.316406
